object_id,ein,RgnTxt,PrpsOfGrntTxt,CshGrntAmt,MnnrOfCshDsbrsmntTxt,VltnMthdUsdDsc
201903189349305390,461001797,BANGLADESH,SPONSORSHIP,267325,TRANSFER
201903189349305390,461001797,BARBADOS,SPONSORSHIP,2014,TRANSFER
201903189349305390,461001797,COSTA RICA,SPONSORSHIP,15660,TRANSFER
201903189349305390,461001797,NIGERIA,SPONSORSHIP,8962,TRANSFER
201903189349305390,461001797,SOLVENIA,SPONSORSHIP,1975,TRANSFER
201903189349305390,461001797,ST. MARTEEN,SPONSORSHIP,2946,TRANSFER
201903189349305390,461001797,UGANDA,SPONSORSHIP,2486,TRANSFER
202020669349300017,980042539,"North America (including Canada and Mexico, but not the United States)","Since we are a Canadian Organization, all of our grants are paid in Canada, which is outside the United States. Our grants are to support Students Organizations, Federal Colleges, and other Universities. performing research (sub-grants)",1479372,"Cheque, EFT, Wire Transfer"
201923189349305352,208625115,HAITI,"TUITION, ROOM AND BOARD FOR UNIVERSITY STUDENTS",28449,CHECK/WIRE TRANSFERS,FAIR MARKET VALUE
202041339349302344,250969449,EUROPE (INCLUDING ICELAND & GREENLAND),SUBCONTRACTS,248365,CASH; ELECTRONIC FUND TRANSFER,N/A,N/A
202041339349302344,250969449,MIDDLE EAST AND NORTH AFRICA,SUBCONTRACTS,309824,CASH; ELECTRONIC FUND TRANSFER,N/A,N/A
202041339349302344,250969449,"NORTH AMERICA - CANADA AND MEXICO, BUT NOT THE UNITED STATES",SUBCONTRACTS,358938,CASH; ELECTRONIC FUND TRANSFER,N/A,N/A
202041339349302344,250969449,SUB-SAHARAN AFRICA,SUBCONTRACTS,100000,CASH; ELECTRONIC FUND TRANSFER,N/A,N/A
202041339349302344,250969449,EAST ASIA AND THE PACIFIC,SUBCONTRACTS,103781,CASH; ELECTRONIC FUND TRANSFER,N/A,N/A
202021769349300302,581438873,Sub-Saharan Africa,RESEARCH,6000,WIRETRANSFER,0,N/A,N/A
202011349349301306,237251952,East Asia and the Pacific,Legal Training,188738,Wire Transfer
201913099349302566,943152265,NORTH AMERICA,"SUPPORT ""THE TEACHING HOUSE THAT MOVES AROUND"" PROGRAM.",200000,BANK TRANSFER
202000719349301410,730739626,Sub-Saharan Africa,Ministry Conference,10000,Wire
202021329349300207,250965591,EAST ASIA AND THE PACIFIC,RESEARCH SUBCONTRACT.,793519,WIRE/CHECK
202021329349300207,250965591,EUROPE,RESEARCH SUBCONTRACT.,2432520,WIRE/CHECK
202021329349300207,250965591,MIDDLE EAST AND NORTH AFRICA,RESEARCH SUBCONTRACT.,232663,WIRE/CHECK
202021329349300207,250965591,NORTH AMERICA,RESEARCH SUBCONTRACT.,568986,WIRE/CHECK
202021329349300207,250965591,SOUTH ASIA,RESEARCH SUBCONTRACT.,30032,WIRE/CHECK
202021329349300207,250965591,SUB-SAHARAN AFRICA,RESEARCH SUBCONTRACT,109387,WIRE/CHECK
202021329349300207,250965591,SOUTH AMERICA,RESEARCH SUBCONTRACT.,145593,WIRE/CHECK
202031339349301533,231353385,EAST ASIA,POVERTY RELIEF,16797,WIRE TRANSFER,100,USED CLOTHING,FMV
202010509349301416,951744369,Sub-Saharan Africa,Foreign studies,543675,Wire Transfer
202010509349301416,951744369,North America,Outreach Ministries,38382,Wire Transfer
202041779349300719,742606557,Europe,General Support,57038,Wire Transfer
202041779349300719,742606557,North America,General Support,33762,Checks
201903229349300885,931071753,OPERATIONS,CHECKS
202011299349300336,741109620,Sub-Saharan Africa,Children's health,25760,Cash
202011299349300336,741109620,Sub-Saharan Africa,Children's health,10000,Cash
202011299349300336,741109620,Sub-Saharan Africa,Children's health,422139,Cash
202011299349300336,741109620,Sub-Saharan Africa,Children's health,149299,Cash
202011299349300336,741109620,Sub-Saharan Africa,Children's health,6125,Cash
202011299349300336,741109620,Sub-Saharan Africa,Children's health,10000,Cash
202011299349300336,741109620,Sub-Saharan Africa,Children's health,84505,Cash
202031549349301503,954749034,SUPPORT UNIVERSITY,396735,CASH WIRE TRANS
201903199349308290,250965603,"CENTRAL AMERICA AND THE CARIBBEAN - ANTIGUA & BARBUDA, ARUBA, BAHAMAS,","TO FUND MAINTENANCE, EDUCATION PROGRAMS, SCHOOL SUPPLIES, AND EYE EXAMS/GLASSES",6500,WIRE TRANSFER,0,BOOK
202001479349300875,381366958,"CENTRAL AMERICA AND THE CARIBBEAN - ANTIGUA & BARBUDA, ARUBA, BAHAMAS,",TUITION PAYMENT FOR STUDY ABOARD PROGRAMS,15009,WIRE TRANSFER,0,CASH
202030869349300613,454971921,PROGRAM SERVICE,367500,WIRE TRANSFER
201901309349303300,420680387,EUROPE (INCLUDING ICELAND & GREENLAND),GENERAL SUPPORT,50000,CHECK,0,N/A,N/A
202001399349300120,390806261,Europe (Including Iceland and Greenland),RESEARCH SUBAWARD,181450,WIRE
202001399349300120,390806261,Europe (Including Iceland and Greenland),RESEARCH SUBAWARD,58443,CHECK
202001399349300120,390806261,North America,RESEARCH SUBAWARD,76081,CHECK
202001399349300120,390806261,East Asia and the Pacific,RESEARCH SUBAWARD,118876,WIRE
202001399349300120,390806261,Russia and the Newly Independent States,RESEARCH SUBAWARD,185288,WIRE
202031369349303453,350868188,Europe (Including Iceland and Greenland),see Part V,100000,Check/Wire
202031369349303453,350868188,Europe (Including Iceland and Greenland),see Part V,10000,Check/Wire
202031369349303453,350868188,Central America and the Caribbean,see Part V,1791057,Check/Wire
202031369349303453,350868188,Europe (Including Iceland and Greenland),see Part V,20000,Check/Wire
202031369349303453,350868188,Europe (Including Iceland and Greenland),see Part V,79383,Check/Wire
202031369349303453,350868188,East Asia and the Pacific,see Part V,319604,Check/Wire
202031369349303453,350868188,Europe (Including Iceland and Greenland),see Part V,600433,Check/Wire
202031369349303453,350868188,Central America and the Caribbean,see Part V,140499,Check/Wire
202031369349303453,350868188,Europe (Including Iceland and Greenland),see Part V,328800,Check/Wire
202031369349303453,350868188,South Asia,see Part V,51250,Check/Wire
202031369349303453,350868188,Sub-Saharan Africa,see Part V,86980,Check/Wire
202031369349303453,350868188,South Asia,see Part V,9020,Check/Wire
202031369349303453,350868188,Europe (Including Iceland and Greenland),see Part V,6022,Check/Wire
202031369349303453,350868188,South Asia,see Part V,54284,Check/Wire
202031369349303453,350868188,Europe (Including Iceland and Greenland),see Part V,5047,Check/Wire
202031369349303453,350868188,Europe (Including Iceland and Greenland),see Part V,23612,Check/Wire
202031369349303453,350868188,Europe (Including Iceland and Greenland),see Part V,94400,Check/Wire
202031369349303453,350868188,East Asia and the Pacific,see Part V,73660,Check/Wire
202031369349303453,350868188,Europe (Including Iceland and Greenland),see Part V,86666,Check/Wire
202031369349303453,350868188,South Asia,see Part V,78377,Check/Wire
202031369349303453,350868188,Central America and the Caribbean,see Part V,86218,Check/Wire
202031369349303453,350868188,Europe (Including Iceland and Greenland),see Part V,9250,Check/Wire
202031369349303453,350868188,South America,see Part V,392082,Check/Wire
202031369349303453,350868188,Europe (Including Iceland and Greenland),see Part V,20000,Check/Wire
202031369349303453,350868188,Middle East and North Africa,see Part V,1073117,Check/Wire
202031369349303453,350868188,South America,see Part V,42102,Check/Wire
202031369349303453,350868188,Europe (Including Iceland and Greenland),see Part V,91119,Check/Wire
202031369349303453,350868188,North America (Canada & Mexico only),see Part V,39597,Check/Wire
202031369349303453,350868188,Sub-Saharan Africa,see Part V,211019,Check/Wire
201933179349302253,980148939,East Asia and the Pacific,Program Support,27643
201933179349302253,980148939,East Asia and the Pacific,Program Support,18028
201933179349302253,980148939,East Asia and the Pacific,Program Support,6911
201933179349302253,980148939,East Asia and the Pacific,PRogram Support,6911
201933179349302253,980148939,East Asia and the Pacific,Program Support,6911
201933179349302253,980148939,East Asia and the Pacific,Program Support,6911
201933179349302253,980148939,East Asia and the Pacific,Program Support,6009
202001349349302850,383071514,EUROPE (INCLUDING ICELAND & GREENLAND),PUBLIC SERVICE,6149,WIRE TRANSFER
202001349349302850,383071514,"NORTH AMERICA - CANADA AND MEXICO, BUT NOT THE UNITED STATES",PUBLIC SERVICE,46990,CHECK
202001349349302850,383071514,"SUB-SAHARAN AFRICA - ANGOLA, BENIN, BOTSWANA, BURKINA FASO,",PUBLIC SERVICE,333485,WIRE TRANSFER
202000079349301950,841567873,Cuba,Training Support,6000,Wire Trnsfr
202000079349301950,841567873,India,Training Support,3900,Wire Trnsfr
202000079349301950,841567873,Malawi,Training Support,6237,Wire Trnsfr
202000079349301950,841567873,Mexico,Training Support,6000,Wire Trnsfr
202000079349301950,841567873,VCI UK,Global Network,82493,Wire Trnsfr
202041369349301804,132676570,Europe (Including Iceland and Greenland),EDUCATION,470582,wire
202011709349301801,361408475,Central America and the Caribbean,SFCA'S AND OBESITY,60585,WIRE TRSFR.
202011709349301801,361408475,East Asia and the Pacific,COOPER BIOTIC LIGAND MODEL,5235,WIRE TRSFR.
202011709349301801,361408475,Europe (Including Iceland and Greenland),SFCA's and Obesity,50868,WIRE TRSFR.
202011709349301801,361408475,Middle East and North Africa,Anthrax Research,129085,WIRE TRSFR.
202011709349301801,361408475,North America,Cardiac Calcium Transport,115268,WIRE TRSFR.
202011709349301801,361408475,South Asia,Anthrax Research,138832,WIRE TRSFR.
202011709349301801,361408475,Sub-Saharan Africa,SFCA's and Obesity,47683,WIRE TRSFR.
202011709349301801,361408475,Sub-Saharan Africa,SFCA's and Obesity,87507,WIRE TRSFR.
202041199349300124,240795445,East Asia and the Pacific,64215,WIRE,N/A,N/A
202041199349300124,240795445,North America,6000,CHECK,N/A,N/A
202041199349300124,240795445,Europe (Including Iceland and Greenland),RESEARCH,10000,WIRE,N/A,N/A
202041199349300124,240795445,Sub-Saharan Africa,RESEARCH,30690,WIRE,N/A,N/A
202041199349300124,240795445,21244
202000699349300920,160743140,Europe (Including Iceland and Greenland),"Research related to environmental, social, and cultural change in contemporary Greenland",17346,WIRE
202000699349300920,160743140,Europe (Including Iceland and Greenland),SPONSORSHIP FOR THE WORLD FEDERATION OF THE DEAF,16339,WIRE
201943179349308769,237069575,"North America (including Canada and Mexico, but not the United States)",Research,8207957,cheque,0
202041339349302504,580566205,Sub-Saharan Africa,Study Abroad,75050,Check,N/A,N/A
202041339349302504,580566205,East Asia and the Pacific,Study Abroad,38688,Check,N/A,N/A
202041339349302504,580566205,North America,Study Abroad,23755,Check,N/A,N/A
202041339349302504,580566205,Middle East and North Africa,Study Abroad,95991,Check,N/A,N/A
202041339349302504,580566205,Europe (Including Iceland and Greenland),Study Abroad,36714,Check,N/A,N/A
202031979349307063,430653611,East Asia and the Pacific,RESEARCH,200686,Check
202031979349307063,430653611,East Asia and the Pacific,RESEARCH,108000,Wire transfer
202031979349307063,430653611,East Asia and the Pacific,RESEARCH,107676,Check
202031979349307063,430653611,East Asia and the Pacific,RESEARCH,93556,Wire transfer
202031979349307063,430653611,East Asia and the Pacific,RESEARCH,57581,Wire transfer
202031979349307063,430653611,East Asia and the Pacific,RESEARCH,52597,Check
202031979349307063,430653611,East Asia and the Pacific,RESEARCH,39848,Wire transfer
202031979349307063,430653611,East Asia and the Pacific,RESEARCH,30146,Wire transfer
202031979349307063,430653611,East Asia and the Pacific,RESEARCH,27000,Wire transfer
202031979349307063,430653611,East Asia and the Pacific,RESEARCH,27000,Wire transfer
202031979349307063,430653611,East Asia and the Pacific,RESEARCH,12550,Wire transfer
202031979349307063,430653611,East Asia and the Pacific,RESEARCH,9859,Wire transfer
202031979349307063,430653611,East Asia and the Pacific,RESEARCH,8894,Wire transfer
202031979349307063,430653611,East Asia and the Pacific,RESEARCH,6345,Wire transfer
202031979349307063,430653611,East Asia and the Pacific,RESEARCH,2992,Check
202031979349307063,430653611,East Asia and the Pacific,RESEARCH,162,Check
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,478770,Check
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,144553,Wire transfer
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,100000,Wire transfer
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,59909,Wire transfer
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,59097,Wire transfer
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,55812,Wire transfer
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,54000,Wire transfer
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,50908,Wire transfer
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,49385,Wire transfer
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,49058,Wire transfer
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,42954,Wire transfer
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,41323,Check
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,39361,Wire transfer
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,33099,Wire transfer
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,31769,Wire transfer
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,30692,Wire transfer
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,27267,Wire transfer
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,27000,Wire transfer
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,22429,Wire transfer
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,21600,Wire transfer
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,20555,Wire transfer
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,17347,Wire transfer
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,15300,Wire transfer
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,13700,Wire transfer
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,11892,Wire transfer
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,10759,Check
202031979349307063,430653611,Europe Including Iceland and Greenland,SPONSORSHIP,3000,Wire transfer
202031979349307063,430653611,Europe Including Iceland and Greenland,RESEARCH,1800,Wire transfer
202031979349307063,430653611,Europe Including Iceland and Greenland,SPONSORSHIP,179,Check
202031979349307063,430653611,Middle East and North Africa,RESEARCH,136264,Wire transfer
202031979349307063,430653611,Middle East and North Africa,RESEARCH,88642,Wire transfer
202031979349307063,430653611,Middle East and North Africa,RESEARCH,17120,Wire transfer
202031979349307063,430653611,Middle East and North Africa,SPONSORSHIP,200,Credit Card
202031979349307063,430653611,North America,RESEARCH,298890,Wire transfer
202031979349307063,430653611,North America,RESEARCH,82499,Check
202031979349307063,430653611,North America,RESEARCH,35195,Wire transfer
202031979349307063,430653611,North America,RESEARCH,23511,Wire transfer
202031979349307063,430653611,North America,RESEARCH,5252,Check
202031979349307063,430653611,South America,RESEARCH,27000,Wire transfer
202031979349307063,430653611,South Asia,RESEARCH,68834,Wire transfer
202031979349307063,430653611,South Asia,RESEARCH,63287,Wire transfer
202031979349307063,430653611,South Asia,RESEARCH,55823,Wire transfer
202031979349307063,430653611,South Asia,RESEARCH,11284,Wire transfer
202031979349307063,430653611,South Asia,RESEARCH,5795,Wire transfer
202031979349307063,430653611,Sub-Saharan Africa,RESEARCH,550423,Wire transfer
202031979349307063,430653611,Sub-Saharan Africa,RESEARCH,200000,Wire transfer
202031979349307063,430653611,Sub-Saharan Africa,RESEARCH,138286,Wire transfer
202031979349307063,430653611,Sub-Saharan Africa,RESEARCH,122462,Wire transfer
202031979349307063,430653611,Sub-Saharan Africa,RESEARCH,111358,Wire transfer
202031979349307063,430653611,Sub-Saharan Africa,RESEARCH,108475,Wire transfer
202031979349307063,430653611,Sub-Saharan Africa,RESEARCH,89201,Wire transfer
202031979349307063,430653611,Sub-Saharan Africa,RESEARCH,66595,Wire transfer
202031979349307063,430653611,Sub-Saharan Africa,RESEARCH,43975,Wire transfer
202031979349307063,430653611,Sub-Saharan Africa,RESEARCH,41750,Wire transfer
202031979349307063,430653611,Sub-Saharan Africa,RESEARCH,40026,Wire transfer
202031979349307063,430653611,Sub-Saharan Africa,RESEARCH,32383,Wire transfer
202031979349307063,430653611,Sub-Saharan Africa,RESEARCH,18601,Wire transfer
202031979349307063,430653611,Sub-Saharan Africa,RESEARCH,11604,Wire transfer
202031619349301713,240795686,NORTH AMERICA,PROMOTION OF HUMANITIES,44452,WIRE TRANSFER,0,N/A,N/A
202030629349300738,237213309,North America,Research,17798788,Check
202041959349303539,202951275,Sub-Saharan Africa,PEDIATRIC CARE,10210,WIRE
202041959349303539,202951275,Europe (Including Iceland and Greenland),PEDIATRIC CARE,669995,WIRE
202041959349303539,202951275,Sub-Saharan Africa,PEDIATRIC CARE,2421271,WIRE
202041959349303539,202951275,Sub-Saharan Africa,PEDIATRIC CARE,42310,WIRE
202041959349303539,202951275,Sub-Saharan Africa,PEDIATRIC CARE,222565,WIRE
202041959349303539,202951275,South America,PEDIATRIC CARE,706619,WIRE
202041959349303539,202951275,South America,PEDIATRIC CARE,258276,WIRE
202041959349303539,202951275,Sub-Saharan Africa,PEDIATRIC CARE,315662,WIRE
202041959349303539,202951275,Sub-Saharan Africa,PEDIATRIC CARE,90933,WIRE
202001959349300715,231352294,East Asia and the Pacific,SA HOUSING,37427,WIRE,N/A,N/A
202001959349300715,231352294,Europe (Including Iceland and Greenland),SA HOUSING,403856,WIRE,N/A,N/A
202001959349300715,231352294,Europe (Including Iceland and Greenland),SUPPLIES,6137,WIRE,N/A,N/A
202001959349300715,231352294,Central America and the Caribbean,SA HOUSING,173579,WIRE,N/A,N/A
202001959349300715,231352294,Middle East and North Africa,SA HOUSING,82215,WIRE,N/A,N/A
202031539349300028,150543659,North America,Research,25660,Wire
202021399349301552,381374230,EUROPE,STUDENT TUITION,104353,WIRE,BOOK
202021399349301552,381374230,EUROPE,HONORAIUM,11642,WIRE,BOOK
202021369349304527,581216007,Europe (Including Iceland and Greenland),Donation,20000,WIRE,Support,accrual
202021369349304527,581216007,North America,sponsorship,10000,wire,support,accrual
202000609349300500,850297355,South Asia,Grants to Recipients,1709397,Wire/Exchange,0
202000609349300500,850297355,East Asia and the Pacific,Grants to Recipients,2939217,Wire / Exchange,0
202000609349300500,850297355,North America,Grants to Recipients,152540,Wire / Exchange,0
202000609349300500,850297355,Central America and the Caribbean,Grants to Recipients Scholarships,778807,Wire / Exchange,0
202000609349300500,850297355,Sub-Saharan Africa,Grants to Recipients,338873,Wire / Exchange,0
202000609349300500,850297355,Europe (Including Iceland and Greenland),Grants to Recipients,4778949,Wire / Exchange,0
201942889349301504,980150041,NORTH AMERICA,SUPPORT,214166,CHECKS,N/A,N/A
202011359349300001,550665758,EUROPE,RESEARCH,7450,CHECK
202041069349300829,341018992,East Asia and the Pacific,Research,166082,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,East Asia and the Pacific,Research,8096,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,East Asia and the Pacific,Research,52171,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,East Asia and the Pacific,Research,7827,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,East Asia and the Pacific,Research,46254,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,Europe (Including Iceland and Greenland),Research,45209,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,Europe (Including Iceland and Greenland),Research,19932,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,Europe (Including Iceland and Greenland),Research,63814,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,Europe (Including Iceland and Greenland),Research,34340,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,Europe (Including Iceland and Greenland),Research,5818,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,North America (Canada & Mexico only),Research,12500,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,North America (Canada & Mexico only),Research,12500,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,South America,Research,106935,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,South America,Research,288149,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,South America,Research,103745,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,South America,Research,45200,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,Sub-Saharan Africa,Research,29243,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,Sub-Saharan Africa,Research,144383,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,Sub-Saharan Africa,Research,573200,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,Sub-Saharan Africa,Research,96933,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,Sub-Saharan Africa,Research,34663,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,Sub-Saharan Africa,Research,50000,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,Sub-Saharan Africa,Research,20000,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,Sub-Saharan Africa,Research,13860,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,Sub-Saharan Africa,Research,6360,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,Sub-Saharan Africa,Research,11975,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,Sub-Saharan Africa,Research,94547,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,Sub-Saharan Africa,Research,784841,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,Sub-Saharan Africa,Research,2266862,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,Sub-Saharan Africa,Research,5472,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,South Asia,Research,15000,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,South Asia,Research,8076,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,South Asia,Research,8000,Wire Transfer,0,N/A,N/A
202041069349300829,341018992,South Asia,Research,10000,Wire Transfer,0,N/A,N/A
202041069349301114,042103545,Sub-Saharan Africa,GENERAL SUPPORT,50000,WIRE TRANSFR
202041069349301114,042103545,Sub-Saharan Africa,GENERAL SUPPORT,22250,WIRE TRANSFR
202041069349301114,042103545,Sub-Saharan Africa,GENERAL SUPPORT,75000,WIRE TRANSFR
202041069349301114,042103545,Central America and the Caribbean,GENERAL SUPPORT,30000,WIRE TRANSFR
202011369349303686,042103547,Europe (Including Iceland and Greenland),RESEARCH,1734698,WIRE
202011369349303686,042103547,Europe (Including Iceland and Greenland),RESEARCH,1306055,WIRE
202011369349303686,042103547,Sub-Saharan Africa,RESEARCH,904538,WIRE
202011369349303686,042103547,Europe (Including Iceland and Greenland),RESEARCH,834148,WIRE
202011369349303686,042103547,Europe (Including Iceland and Greenland),RESEARCH,524461,WIRE
202011369349303686,042103547,Europe (Including Iceland and Greenland),RESEARCH,472955,WIRE
202011369349303686,042103547,South Asia,RESEARCH,441034,WIRE
202011369349303686,042103547,Europe (Including Iceland and Greenland),RESEARCH,399887,WIRE
202011369349303686,042103547,Europe (Including Iceland and Greenland),RESEARCH,273173,WIRE
202011369349303686,042103547,Europe (Including Iceland and Greenland),RESEARCH,248878,WIRE
202011369349303686,042103547,East Asia and the Pacific,RESEARCH,220052,WIRE
202011369349303686,042103547,Europe (Including Iceland and Greenland),RESEARCH,204671,WIRE
202011369349303686,042103547,Sub-Saharan Africa,RESEARCH,194646,WIRE
202011369349303686,042103547,North America,RESEARCH,143742,WIRE
202011369349303686,042103547,Europe (Including Iceland and Greenland),RESEARCH,139699,WIRE
202011369349303686,042103547,Central America and the Caribbean,RESEARCH,130831,WIRE
202011369349303686,042103547,Europe (Including Iceland and Greenland),RESEARCH,49990,WIRE
202011369349303686,042103547,Sub-Saharan Africa,RESEARCH,38055,WIRE
202011369349303686,042103547,North America,RESEARCH,34497,WIRE
202011369349303686,042103547,South America,RESEARCH,32393,WIRE
202011369349303686,042103547,Middle East and North Africa,RESEARCH,31651,WIRE
202011369349303686,042103547,Europe (Including Iceland and Greenland),RESEARCH,30006,WIRE
202011369349303686,042103547,South Asia,RESEARCH,28438,WIRE
202011369349303686,042103547,Europe (Including Iceland and Greenland),RESEARCH,26768,WIRE
202011369349303686,042103547,East Asia and the Pacific,RESEARCH,23000,WIRE
202011369349303686,042103547,South Asia,RESEARCH,19887,WIRE
202011369349303686,042103547,South Asia,RESEARCH,16332,WIRE
