object_id,ein,BndRfrncCd,PrcdrsCrrctvActnInd
201800609349300925,250965557,RetDoc1053100001,C,0
201800609349300925,250965557,RetDoc1053100001,D,0
201801019349300235,362167770,A,1
201801019349300235,362167770,B,1
201801019349300235,362167770,C,1
201820969349300722,580566205,A,false
201820969349300722,580566205,B,false
201840509349300724,540505945,A,0
201840509349300724,540505945,B,0
201840509349300724,540505945,C,0
201820509349300912,362166964,A,true
201800809349300735,420680400,A,1
201800809349300735,420680400,B,1
201830929349300828,952962604,A,1
201830929349300828,952962604,B,1
201820509349300232,362515868,A,1
201830529349301123,042271070,A,1
201830529349301123,042271070,B,1
201800609349300110,231352692,A,1
201800609349300220,580568687,A,0
201800609349300130,340714681,A,true
201800609349300130,340714681,B,true
201810949349300111,231352621,R000011,A,1
201810949349300111,231352621,R000011,B,1
201810949349300111,231352621,R000011,C,1
201810949349300111,231352621,R000011,D,1
201800949349301000,042103585,RetDoc1053100001,A,1
201800949349301000,042103585,RetDoc1053100001,B,1
201800949349301000,042103585,RetDoc1053100001,C,1
201800949349301000,042103585,RetDoc1053100001,D,1
201840959349300959,910236600,A,1
201840619349301039,480543772,A,1
201840999349300679,250965376,A,0
201810769349300706,030482006,RetDoc1053100001,A,0
201810769349300706,030482006,RetDoc1053100001,B,0
201810769349300706,030482006,RetDoc1053100001,C,0
201810769349300706,030482006,RetDoc1053100001,D,0
201831079349300238,030179424,A,1
201831079349300238,030179424,B,1
201830649349300608,240795406,A,1
201830649349300608,240795406,B,1
201830649349300448,160743942,A,0
201830649349300448,160743942,B,0
201830899349300213,560556753,A,1
201830899349300213,560556753,B,1
201800939349300930,470376551,A,1
201810789349300111,440545813,A,1
201810789349300111,440545813,B,1
201810789349300111,440545813,C,1
201800759349300330,042111203,A,1
201800759349300330,042111203,B,1
201800759349300330,042111203,C,1
201810689349300306,231352613,RetDoc1053100001,A,1
201810689349300306,231352613,RetDoc1053100001,B,1
201810689349300306,231352613,RetDoc1053100001,C,1
201810689349300306,231352613,RetDoc1053100001,D,1
201830889349300603,341695897,A,true
201830889349300603,341695897,B,true
201820449349300432,041591060,A,1
201800719349300735,370661211,A,0
201800719349300735,370661211,B,0
201800719349300240,231413680,A,1
201800719349300110,460224588,A,1
201800719349300110,460224588,B,1
201800719349300110,460224588,C,1
201840879349300729,160743126,A,0
201820999349300432,620518288,A,0
201820999349300432,620518288,B,0
201810669349300021,480777079,IRS990ScheduleK,A,true
201810669349300021,480777079,IRS990ScheduleK,B,true
201810669349300021,480777079,IRS990ScheduleK,C,true
201810669349300021,480777079,IRS990ScheduleK,D,true
201800969349300345,930386972,RetDoc1053100001,A,1
201800969349300345,930386972,RetDoc1053100001,B,1
201800969349300345,930386972,RetDoc1053100001,C,1
201800969349300345,930386972,RetDoc1053100001,D,1
201840449349301109,941585735,A,1
201811029349300016,237225104,A,true
201811029349300016,237225104,B,true
201800649349301010,131740445,A,false
201840509349300134,420698196,A,1
201840509349300134,420698196,B,1
201810249349300111,010263385,A,1
201810249349300111,010263385,B,1
201810249349300111,010263385,C,1
201810249349300111,010263385,D,1
201840329349300524,042104778,A,0
201831009349301028,620535755,A,1
201831009349301028,620535755,B,1
201810999349300221,581216007,A,true
201810999349300221,581216007,B,true
201810999349300221,581216007,C,true
201801029349300045,440567385,A,true
201801029349300020,620502739,RetDoc1053100001,A,0
201801029349300020,620502739,RetDoc1053100001,B,0
201801029349300020,620502739,RetDoc1053100001,C,0
201801029349300020,620502739,RetDoc1053100001,D,0
201800599349301350,480543715,A,true
201800599349301350,480543715,B,true
201820739349300342,710239576,A,1
201801029349300930,750800689,A,true
201801029349300930,750800689,B,true
201801029349300930,750800689,C,true
201801029349300930,750800689,D,true
201820979349300602,381367080,A,0
201840449349300544,042620216,A,1
201810819349301201,340714818,A,1
201840679349300319,941156485,A,1
201840679349300319,941156485,B,1
201840679349300319,941156485,C,1
201841029349300239,020263136,A,0
201840979349300004,630288841,A,0
201840979349300004,630288841,B,0
201800969349300110,160759798,A,0
201800969349300110,160759798,B,0
201810579349301301,350868074,IRS990ScheduleK.1,A,true
201810579349301301,350868074,IRS990ScheduleK.1,B,true
201810579349301301,350868074,IRS990ScheduleK.1,C,true
201810579349301301,350868074,IRS990ScheduleK.1,D,true
201840609349300009,521010577,A,0
201810089349300091,362177133,A,1
201810089349300091,362177133,B,0
201820549349300637,390477970,A,1
201820529349300207,592961536,A,1
201840819349300544,381945965,A,0
201840819349300544,381945965,B,0
201840819349300544,381945965,C,0
201840819349300544,381945965,D,0
201840819349300344,610448560,A,1
201830649349300718,520591694,A,1
201840879349300324,930386858,A,0
201810689349301181,470376524,A,1
201830819349300548,135562314,A,true
201830819349300548,135562314,B,true
201840089349300414,590624401,A,1
201840089349300414,590624401,B,1
201800609349301550,951643992,A,true
201800609349301550,951643992,B,true
201800559349300805,381359083,A,true
201820389349300932,720467515,A,0
201820389349300932,720467515,B,0
201800749349300505,340714687,A,true
201800749349300505,340714687,B,true
201820579349300852,231352620,R000010,A,1
201820579349300852,231352620,R000010,B,1
201820579349300852,231352620,R000010,C,1
201820579349300852,231352620,R000010,D,1
201810469349300946,741400699,A,0
201820399349301062,440545914,A,true
201830449349300318,480543736,A,false
201830449349300318,480543736,B,false
201800539349300635,751081109,A,true
201800539349300635,751081109,B,true
201702799349300445,741180151,A,0
201702799349300445,741180151,B,0
201800539349300315,841029228,A,1
201800539349300315,841029228,B,1
201800539349300510,420686467,A,1
201810229349300106,480543766,A,true
201810599349300711,141338309,A,0
201820109349300902,131916574,A,1
201840319349301149,231352698,A,true
201840319349301149,231352698,B,true
201840319349301149,231352698,C,true
201840319349301149,231352698,D,true
201830099349301508,620485733,A,1
201830099349301508,620485733,B,1
201830099349301508,620485733,C,1
