object_id,ein,BsnssNm_BsnssNmLn1Txt
201632879349300938,900131526,LANKFORD PROTECTIVE SERVICES INC,2711-B PINEDALE ROAD,GREENSBORO,NC,27408,SECURITY,168179
201633029349300128,208434503,POLSINELLI PC,PO BOX 878681,KANSAS CITY,MO,64187,LEGAL,213923
201633029349300128,208434503,COLORADO STATE UNIVERSITY RESEARCH FOUND,PO BOX 483,FORT COLLINS,CO,80521,ACCOUNTING/ADMIN,169089
201602919349301055,344429091,SODEXO SERVICES,9801 WASHINGTONIAN BLVD STE 1446,GAITHERSBURG,MD,208785355,DINING SERVICES,5006268
201602919349301055,344429091,SODEXO INC AFFILIATES,10 EARHART DR,WILLIAMSVILLE,NY,142217078,MAINTENANCE SERVICES,4641575
201602919349301055,344429091,M W CONSTRUCTION INC,1201 CRESTWOOD DR,LIMA,OH,458051669,CONSTRUCTION SERVICE,1036665
201602919349301055,344429091,160OVER90 LLC,1 S BROAD ST FL 10,PHILADELPHIA,PA,191073420,BRANDING CONSULTING,721648
201602919349301055,344429091,VORYS SATER SEYMOUR AND PEASE LL,52 E GAY ST,COLUMBUS,OH,432161008,LEGAL SERVICES,703234
201622599349300892,611124267,SMITH BROTHERS EXCAVATING,729 HIGHWAY 149,MANCHESTER,KY,40962,EXCAVATING FOR RETAINING WALL & SAFETY GUARDRAIL,392740
201622599349300892,611124267,CIGNEX DATAMATICS INC,2350 MISSION COLLEGE BLVD,SUITE 490,SANTA CLARA,CA,95054,IT CONSULTING & SUPPORT,344473
201622599349300892,611124267,CROWE HORWATH LLP,9600 BROWNSBORO ROAD,LOUISVILLE,KY,40241,AUDIT & TAX,123789
201602879349301310,541854399,WHITHAM CURTIS & CHRISTOFFERSON,11491 SUNSET HILLS ROAD,RESTON,VA,20190,PATENT DEVELOPMENT COST,546627
201602879349301310,541854399,LAWRENCE SCHWARTZ,1 WELWYN PLACE,RICHMOND,VA,23229,ROYALTIES,179099
201622729349300122,561065978,THOMPSON HOSPITALITY,1704 WEEKSVILLE ROAD,ELIZABETH CITY,NC,27909,FOOD SERVICE PROVIDER,446551
201622819349300402,381443369,The Beracha Foundation,1165 Beargrass Way,Maineville,OH,45039,Donor website development,199370
201622819349300402,381443369,The Christman Company,208 N Capitol Ave,Lansing,MI,489331357,Construction contractor,1209367
201622819349300402,381443369,Synergis Education Inc,1820 E Ray Rd,Chandler,AZ,85225,Third party servicer of PGS program,2438640
201622819349300402,381443369,Gilson Graphics,2000 Oak Industrial Dr NE,Grand Rapids,MI,49505,Printing mailing services,298118
201622819349300402,381443369,Royall & Company,1920 E Parham Rd,Richmond,VA,23228,Provider of student names mailings,454073
201632879349300743,750855633,Pioneer College Caterers,25055 West Valley Parkway Ste 120,Olathe,KS,66061,Food Services,1041289
201632879349300743,750855633,Hardin-Simmons University,HSU Box 16020,Abilene,TX,79698,Nursing Tuition,890381
201632879349300743,750855633,Texas Bookstore,MCM Box 717,Abilene,TX,79697,Books & Supplies,384450
201632879349300743,750855633,McMurry Residence Partnership,McM Box 627,Abilene,TX,79697,Housing,955251
201632879349300743,750855633,Hewlett Packard Financial Services,3000 Hanover St,Palo Alto,CA,94304,Computers & Supplies,362826
201602779349300960,264789471,FUTUREWORKS CONSULTING LLC,2800 EAST MADISON ST STE 305,SEATTLE,WA,98112,TECHNICAL ASSISTANCE,159292
201602779349300960,264789471,STATE HIGHER EDUCATION EXECUTIVE OFFICERS,3035 CENTER GREEN DRIVE 100,BOULDER,CO,80301,CONSULTING SERVICES,143430
201612949349300501,596605703,NORTON NORRIS,55 EAST JACKSON BLVD,CHICAGO,IL,60604,MARKETING,1225605
201612949349300501,596605703,MBS DIRECT,PO BOX 617,COLUMBIA,MO,65205,EDUCATIONAL MATERIALS,997243
201612949349300501,596605703,ELLUCIANDATATEL,4375 FAIR LAKES CT,FAIRFAX,VA,22033,SOFTWARE SERVICES,441420
201612949349300501,596605703,BLACKBOARD,PO BOX 200154,PITTSBURGH,PA,152510154,SOFTWARE SERVICES,364002
201612949349300501,596605703,G4S SECURE SOLUTIONS,1395 UNIVERSITY BLVD,JUPITER,FL,33458,SECURITY,327061
201602799349300315,850303705,Arviso Construction Inc,51A Dakota loop,Ft Wingate,NM,87316,Construction,1417487
201602799349300315,850303705,Cengage Learning,10650 Toebben Dr,Independence,KY,41051,eBooks & textbooks,465294
