object_id,ein,Dsc,BkVlAmt,MthdVltnCd
201623169349302652,362167773,TREASURY BILLS/STRIPS,2769123,F
201720119349300012,131916574,FOREIGN EQUITY SECURITIES,9079721,F
201720119349300012,131916574,HEDGE FUNDS,18375105,F
201720119349300012,131916574,REAL ASSETS,7517946,F
201700249349301335,943204136,Other Stocks,270998,F
201700249349301335,943204136,Partnership Interests,4840778,F
201740069349300269,750827421,Real Estate,1745016,F
201740069349300269,750827421,Hedge Funds,3276630,F
201740259349301229,460385443,SFACF ENDOWMENT FUND,152739,F
201740069349300114,237125575,INVESTMENTS,139536,C
201700129349300035,420680400,Pinehurst Institutional Ltd,4351219,F
201700129349300035,420680400,Real Estate,2764557,C
201700129349300035,420680400,Short term Investments,618842,F
201700129349300035,420680400,Other,1055,F
201730139349301653,560532303,ALTERNATIVE INVESTMENTS,190936031
201730139349301653,560532303,OTHER,1301910
201730139349301653,560532303,REAL ESTATE,855694
201700319349300510,610510937,Commonfund,4242217,F
201700319349300510,610510937,Real estate,293500,F
201700319349300510,610510937,Other,25272,F
201700319349300510,610510937,Bonds,614096,F
201700319349300425,131628149,Private Equity,98700864,F
201700319349300425,131628149,Alternative Fund,170329637,F
201700319349300425,131628149,Real Assets,732687,F
201700319349300425,131628149,Mutual Funds,6501518,F
201730329349300023,846024048,CERTIFICATES OF DEPOSIT,1900000,F
201710329349300221,042111203,Partnerships/Alternative investments,329327407,F
201710329349300221,042111203,Other,322858,F
201710139349301431,420680389,Interest in Common Trust Funds,2769671,F
201710139349301431,420680389,Interest in Small Cap Equity Funds,5829770,F
201710139349301431,420680389,Interest in Fixed Income Funds,1509374,F
201710139349301431,420680389,Interest in Private Equity Partnerships,3764973,F
201710139349301431,420680389,Interest in Hedge Funds,10364197,F
201710139349301431,420680389,Interest in Real Estate Investment Trusts,237464,F
201710139349301431,420680389,Benefits Interest in Trusts,3300926,F
201710139349301431,420680389,Cash Surrender Value of Life Insurance,397907,F
201710139349301431,420680389,Other,6350,F
201643589349300414,131740468,Funds held by bond trustees,20433230,F
201643589349300414,131740468,Hedge Funds,5308891,F
201643589349300414,131740468,Cash surrender value of life insurance policies,1843322,F
201720169349300537,620485733,INVESTMENTS - SHORT TERM/MUTUAL FUNDS,46475776,F
201720169349300537,620485733,INVESTMENTS - LIMITED PARTNERSHIP INTERESTS,26087935,F
201730449349301208,135596846,HEDGE FUNDS,118278131,F
201730449349301208,135596846,PRIVATE EQUITY,20604248,F
201730449349301208,135596846,REAL ESTATE,27910035,F
201730449349301208,135596846,VENTURE CAPITAL,21024555,F
201700419349301750,141468399,Limited Partnerships - International Investments,11946016,F
201700419349301750,141468399,Hedge Funds,5679486,F
201700419349301750,141468399,Domestic Equity Fund,2409653,F
201700419349301750,141468399,International Equity Fund,3719595,F
201700379349300710,720467515,STUDENT LOANS RECEIVABLE,122840,F
201700379349300710,720467515,CERTIFICATES OF DEPOSIT,10000,F
201700379349300710,720467515,GUIDESTONE FINANCIAL RESOURCES,149979,F
201700379349300710,720467515,LAND,181805,F
201700379349300710,720467515,"CORPORATE STOCK, BONDS, AND NOTES",311079,F
201700379349300710,720467515,FUNDS INVESTED WITH LOUISIANA BAPTIST FOUNDATION,7545037,F
201700379349300710,720467515,AMERIPRISE FINANCIAL,2019683,F
201700379349300710,720467515,CHARLES SCHWAB,104450,F
201700379349300710,720467515,"LOUISIANA ATHLETIC CLUB, LLC",434344,F
201700379349300710,720467515,OTHER,9614,F
201700379349300710,720467515,BENEFICIAL INTERESTS IN ANNUITIES AND TRUSTS,10659016,F
201720349349300952,540505922,Hedge Funds,6107698,F
201720349349300952,540505922,Private Capital,5686525,F
201720349349300952,540505922,Natural Resources,1277140,F
