object_id,ein,TxImpsdAmt,TxRmbrsdAmt,TtlBlncDAmt
201821159349300317,251125048,-,-,-
201821179349300822,870212470,-,-,-
201801209349300345,830340684,-,-,296000
201831239349300013,741109620,-,-,30000
201821049349300017,750800691,-,-,-
201840469349301129,350868086,-,-,-
201841099349300424,240795495,-,-,-
201801019349301010,710239383,-,-,-
201801239349301600,061013935,-,-,-
201841359349310254,330413730,-,-,-
201841159349301069,210634981,-,-,-
201840999349300869,250981156,-,-,-
201831139349300523,231522643,-,-,-
201801159349301025,361521940,-,-,-
201821139349300342,156019050,-,-,-
201801319349301940,381360586,-,-,1654
201821139349300632,381308480,-,-,-
201830409349300413,112157078,-,-,-
201831169349300418,510413351,-,-,2828
201801299349300645,150532082,-,-,-
201801319349302455,250965591,-,-,-
201841369349300249,141340095,-,-,-
201820469349300247,540505977,-,-,599999
201831079349301603,741109661,-,-,-
201801299349301500,570314404,-,-,-
201841359349301234,720423889,-,-,-
201841359349304314,160743088,-,-,-
201821349349302552,741233796,-,-,-
201841229349301289,620476301,-,-,-
201831039349301358,930386890,-,-,-
201831089349300728,941279803,-,-,-
201841089349300119,621504678,-,-,-
201821059349300117,570933257,-,-,-
201841209349300804,390808497,-,-,-
201821349349302557,240795460,-,-,-
201841359349312744,721226741,-,-,220500
201841359349312804,591157081,-,-,85820
201801319349304465,640303069,-,-,132917
201801319349304455,362593545,-,-,-
201801349349305610,050258810,-,-,-
201821349349305072,460224600,-,-,2100000
201801319349300010,042121659,-,-,-
201801349349308605,954625327,-,-,6500000
201821349349303362,131624225,-,-,-
201821349349306022,133297197,-,-,-
201801349349308385,236002304,-,-,271230
201821349349306367,630312914,-,-,-
201801349349306260,560529961,-,-,-
201801349349300410,221487164,-,-,-
201821349349306907,560594591,-,-,766494
201801349349306060,231352661,-,-,13667
201801349349302820,010211497,-,-,220384
201821349349304517,383985918,-,-,-
201801349349304515,150532078,-,-,-
201821349349310612,951246140,-,-,-
201801349349304885,390806251,-,-,937500
201801349349307270,951664101,-,-,284524
201801349349303665,030179298,-,-,33588
201801349349300925,350868188,-,-,-
201821349349303772,516000297,-,-,-
201821349349303717,020222182,-,-,-
201801319349303960,840402510,-,-,-
201821349349305152,231352651,-,-,300000
201801349349301675,160743209,-,-,6997184
201801349349305475,060731360,-,-,-
201821349349302657,042103701,-,-,-
201821349349308282,756114836,-,-,-
201801349349309590,540505965,-,-,-
201801349349303705,250912618,-,-,114160
201821349349304642,860186050,-,-,3540000
201821349349307477,350935587,-,-,-
201821289349300727,941156525,-,-,34442
201821289349300807,041843040,-,-,270702
201831289349300903,453656162,-,-,-
201831309349302368,250964126,-,-,-
201811289349300616,240804602,-,-,50000
201841309349301299,540568200,-,-,-
201841309349303329,042104329,-,-,2500
201801349349302920,250717890,-,-,-
201841289349302464,640329300,-,-,-
201841279349301639,741277664,-,-,-
201801279349301670,130429660,-,-,-
201821349349307417,590624412,-,-,-
201821349349307447,610444695,-,-,-
201801349349302190,620476822,-,-,351167
201821349349309617,237227990,-,-,162591
201801349349307625,131740448,-,-,-
201801349349308040,381366958,-,-,-
201801349349309845,020274509,-,-,-
201821279349302267,990113930,-,-,-
201841299349301144,042005934,-,-,-
201811249349300421,590722789,-,-,-
201831299349302488,042103634,-,-,-
201841299349301389,420703280,-,-,-
201820969349300502,454971921,-,-,-
201831289349301313,590624416,-,-,-
201831329349300933,953127273,-,-,-
201821289349302317,231352632,-,-,-
201801309349303070,060646936,-,-,-
201831299349303508,920023588,-,-,-
201801309349301215,042103580,-,-,1005000
201811249349300131,420680387,-,-,-
201831289349302673,250965601,-,-,-
201801309349301645,010271210,-,-,-
201821309349302232,042103589,-,-,-
201820819349300022,620730291,-,-,-
201831309349300908,430719506,-,-,95242
201811249349301166,550419865,-,-,2224744
201811279349300026,362191252,-,-,-
201811279349300546,042108376,-,-,-
201801289349303060,060731360,-,-,-
201811299349300731,272042610,-,-,-
201811299349303311,950549600,-,-,898992
201821309349301877,042103567,-,-,-
201821309349301847,951664100,-,-,43744
201841429349300344,208488048,-,-,-
201821249349301107,350868202,-,-,-
201811279349301621,041958460,-,-,-
201811279349301831,811665556,-,-,-
201811329349300341,231653718,-,-,-
201841249349300734,042103544,-,-,-
201841289349301344,362167725,-,-,-
201841309349302164,450273403,-,-,-
201811309349302511,520595110,-,-,1000000
201841659349301204,463745855,-,-,-
201801309349303640,660350945,-,-,-
201821699349300642,446000294,-,-,-
201821309349301727,161532850,-,-,-
201811449349300526,366112087,-,-,-
201821359349301722,391097032,-,-,-
201831269349300303,310536715,-,-,-
201821359349307462,460872490,-,-,68241
201801359349300015,314379515,-,-,-
201821729349300607,813071196,-,-,40000
201822019349300547,900790361,-,-,-
