object_id,ein,CntrctrNm_PrsnNm,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,CntrctrCmpnstn_SrvcsDsc,CntrctrCmpnstn_CmpnstnAmt
202041969349301239,042103637,Truimph Modular Inc,194 Ayer Road,LITTLETON,MA,01460,Construction,2131698
202041969349301239,042103637,Dacon Corporation,16 Huron Drive,NATICK,MA,01760,Construction,1920310
202121339349301872,480623882,EXCEL CONSTRUCTORS INC,8041 W 47TH STREET,OVERLAND PARK,KS,662035390,CONSTRUCTION,556805
202111349349303906,560530005,ARAMARK CORPORATION,PO BOX 906023,CHARLOTTE,NC,28290,DINING SERVICES,1933454
202111349349303906,560530005,SUNSTATES SECURITY LLC,PO BOX 896583,CHARLOTTE,NC,28289,CAMPUS SECURITY,440405
202111349349303906,560530005,REGISTRY FOR COLLEGE UNIVERSITY & PRESID,3 CENTENNIAL DRIVE STE320,PEABODY,MA,01960,LEADERSHIP MANAGEMENT FEE,328145
202111349349303906,560530005,RESOURCE PAINTING,3200 OLD HWY 421 WEST,YADKINVILLE,NC,27055,PAINTING,279217
202111349349303906,560530005,BRET STERN PRODUCTIONS,18 LEONARD ST,NORWALK,CT,27055,MARKETING/VIDEO PRODUCTION,254334
202021329349302097,250965601,RYCON CONSTRUCTION INC,2525 LIBERTY AVENUE,PITTSBURGH,PA,15222,CONSTRUCTION,5430187
202021329349302097,250965601,BON APPETIT MANAGEMENT COMPANY,2400 YORKMONT ROAD,CHARLOTTE,NC,28217,FOOD SERVICES,4025767
202021329349302097,250965601,DANNY WEST PAINTING,198 MALONE RIDGE ROAD,WASHINGTON,PA,15301,CONSTRUCTION,469872
202021329349302097,250965601,FIELDTURF INTERNATIONAL INC,8088 MONTVIEW ROAD,MONTREAL,QUEBEC,CA,CONSTRUCTION,466000
202021329349302097,250965601,GCA SERVICES GROUP INC,PO BOX 643823,PITTSBURGH,PA,152643823,MAINTENANCE,354868
202021329349302117,540506306,G&H CONTRACTING,1320 SOUTHSIDE DR,SALEM,VA,24153,BUILDING CONTRACTOR,2663332
202021329349302117,540506306,A&J EXCAVATION,831 COTTONTAIL TR,MT CRAWFORD,VA,22841,EXCAVATING CONTRACTOR,1513965
202021329349302117,540506306,LANTZ CONSTRUCTION,539 MAIN ST,BROADWAY,VA,22815,BUILDING CONTRACTOR,744980
202021329349302117,540506306,EAB GLOBAL,PO BOX 603519,CHARLOTTE,NC,28260,ENROLLMENT CONSULTANT,626741
202021329349302117,540506306,QUINN EVANS ARCHITECTS,1840 W BROAD ST,RICHMOND,VA,23220,LICENSED ARCHITECT,325962
202021329349302402,381673400,EDUCATION MANAGEMENT SERVICES,1476 LANCASTER PIKE,CIRCLEVILLE,OH,43113,CURRICULUM DEVELOPMENT,226140
202111479349300326,720408946,Sodexo,6363 St Charles Ave,Box 243,New Orleans,LA,70118,Food Service,8432021
202111479349300326,720408946,CollegeDegrees com,801 Congress St,Suite 400,Houston,TX,77002,Educational Services,2562882
202111479349300326,720408946,Witt Fiala Flannery and Associates,PO Box 958204,St Louis,MO,63195,Janitorial,1189724
202111479349300326,720408946,Ruffalocody Holdings LLC,PO Box 718,Des Moines,IA,50303,Educational Consulting Services,539568
202111479349300326,720408946,Adams and Reese,701 Poydras Street,Suite 4500,New Orleans,LA,70139,Legal Services,380860
202121019349300307,231352674,ARAMARK,2400 MARKET STREET,PHILADELPHIA,PA,19103,FOOD SERVICES,7702513
202121019349300307,231352674,WILEY EDU LLC,PO BOX 416571,BOSTON,MA,02241,ONLINE COURSES,5495177
202121019349300307,231352674,THE ARTHUR JACKSON COMPANY,7025 WEST CHESTER PIKE,UPPER DARBY,PA,19082,HOUSEKEEPING,2362276
202121019349300307,231352674,ALLIED UNIVERSAL SECURITY SERVICES,3606 HORIZON DRIVE,KING OF PRUSIA,PA,19406,SECURITY SERVICES,1783638
202121019349300307,231352674,MEDIA WORKS LTD,1425 CLARKVIEW ROAD SUITE 500,BALTIMORE,MD,21209,MARKETING,1143050
202100849349300305,231352620,Metz Culinary Management,2 Woodland Drive,Dallas,PA,18612,Dining Services,3679343
202100849349300305,231352620,Delran Builders Company Inc,7909 Flourtown Avenue,Wyndmoor,PA,19038,Construction,2209078
202100849349300305,231352620,Ellucian Company LP,4 Country View Road,Malvern,PA,19355,Computer Services,1350992
202100849349300305,231352620,The Arthur Jackson Company,7025 West Chester Pike,Upper Darby,PA,19082,Facilities Management,660145
202100849349300305,231352620,East Brandywine Mechanical Inc,114 Governors Circle,Downingtown,PA,19335,Facilities Management,631575
202100849349300905,591023117,GERRITTS CONSTRUCTION,8177 GLADES ROAD,BOCA RATON,FL,33434,General Construction,3301159
202100849349300905,591023117,EAB,PO Box 603519,Charlotte,NC,282603519,Marketing services,1441138
202100849349300905,591023117,MOGO Marketing & Media LLC,21 Tamal Vista Blvd 207,Corte Madera,CA,29601,Marketing,586850
202100849349300905,591023117,Academy Bus LLC,111 Paterson Avenue,Hoboken,NJ,07030,Transportation,208465
202100849349300905,591023117,CIEE,300 Fore Street,Portland,ME,04101,Educational,195693
202023309349300032,650216638,THRULINE MARKETING INC,15500 W 113TH,STE 200,LENEXA,KS,66219,ADVERTISING,71171435
202023309349300032,650216638,FOLLETT HIGHER ED GROUP INC,3 WESTBROOK CORPORATE CTR,SUITE 200,WESTCHESTER,IL,60154,INVENTORY MGMT,14576505
202023309349300032,650216638,GRAGG ADVERTISING LLC,450 EAST 4TH STREET,KANSAS CITY,MO,64106,ADVERTISING,7667904
202023309349300032,650216638,SODEXO INC & AFFILIATES,9801 WASHINGTONIAN BLVD,GAITHERSBURG,MD,20878,HOSPITALITY MMG,7455085
202023309349300032,650216638,13 GROUP-CEANNATE,1701 GOLF ROAD STE 2-150,ROLLING MEADOWS,IL,60008,FINANCIAL AID,3624060
202021979349301962,550357072,SODEXO OPERATIONS LLC,4880 PAYSPHERE CIRCLE,CHICAGO,IL,60674,FOOD SERVICE MANAGEMENT,2407476
202021979349301962,550357072,CITY OF PHILIPPI,PO BOX 460,PHILIPPI,WV,26416,CONSTRUCTION SERVICES,717241
202021979349301962,550357072,HIGH POINT CONSTRUCTION,PO BOX 577,BUCKHANNON,WV,26201,CONSTRUCTION SERVICES,455785
202021979349301962,550357072,THE REGISTRY,THREE CENTENNIAL DR STE 320,PEABODY,MA,01960,PLACEMENT FIRM FOR EXECUTIVES,256100
202021979349301962,550357072,INDEPENDENT COLLEGE ENTERPRISE INC,2300 MACCORKLE AVE SE,CHARLESTON,WV,25303,COMPUTER SERVICES,171120
202021979349302142,060761704,CONSIGLI CONSTRUCTION CO INC,72 SUMNER ST,MILFORD,MA,017571663,CONSTRUCTION,30790058
202021979349302142,060761704,SODEXO INC,PO BOX 3601470,PITTSBURGH,PA,15251,FOOD SERVICE,15459640
202021979349302142,060761704,MILESTONE CONSTRUCTION SERVICES LL,64 THOMPSON ST STE A-108,EAST HAVEN,CT,06513,CONSTRUCTION,4595396
202021979349302142,060761704,PAT MUNGER CONSTRUCTION CO INC,750 E MAIN STREET SUITE 1,BRANFORD,CT,064052950,CONSTRUCTION,3140109
202021979349302142,060761704,EducationDynamics LLC,ASLANIAN MARKET RESEARCH,HOBOKEN,NJ,07030,STUD. MKTG RESEARCH,1198488
202031779349301703,131632522,SECURITY USA INC,336 WEST 37TH STREET SUITE 450,NEW YORK,NY,10018,SECURITY SERVICES,540959
202031779349301703,131632522,SANMAR BUILDING SERVICES LLC,134 WEST 29TH STREET SUITE 704,NEW YORK,NY,10001,CLEANING SERVICES,258911
202031779349301703,131632522,PKF O'CONNOR DAVIES LLP,500 MAMARONECK AVENUE SUITE 300,HARRISON,NY,10528,AUDIT AND ACCOUNTING,165450
202031779349301703,131632522,AD TECH SYSTEMS,490 BOSTON POST ROAD,SADBURY,MA,01776,COMPUTER SUPPORT,113033
202023019349301807,840600653,GCH CONSTRUCTION COMPANY INC,4496 BENTS DRIVE UNIT C,WINDSOR,CO,80550,CONSTRUCTION CONTRACTOR,2578176
202023019349301807,840600653,HILLSIDE CONSTRUCTION,216 HEMLOCK STREET,FORT COLLINS,CO,80524,CONSTRUCTION CONTRACTOR,516851
202023019349301807,840600653,POLSINELLI PC,PO BOX 878681,KANSAS CITY,MO,641878681,PATENT LEGAL FEES,375858
202023019349301807,840600653,CONNELL RESOURCES,7785 HIGHLAND MEADOWS PKWY 100,FORT COLLINS,CO,80528,INFRASTRUCTURE SERVICES,184400
