object_id,ein,RgnTxt,OffcsCnt,EmplyCnt,OfActvtsCndctdTxt,RgnTtlExpndtrsAmt
201632889349301163,161476258,Europe (including Iceland and Greenland),0,0,Program Services,Human Rights Festival/ Professor Recognition,12500
201632889349301163,161476258,"North America (including Canada and Mexico, but not the United States)",0,0,Program Services,Conference Attendance,400
201632889349301163,161476258,"North America (including Canada and Mexico, but not the United States)",0,0,Speaking at Seminars or Conferences,Conference Attendance and Presentation,900
201632889349301163,161476258,"North America (including Canada and Mexico, but not the United States)",0,0,Program Services,Fieldwork,1900
201632889349301163,161476258,"North America (including Canada and Mexico, but not the United States)",0,0,Program Services,International Football Game,500
201632889349301163,161476258,"North America (including Canada and Mexico, but not the United States)",0,0,Program Services,Student International Recruitment,6800
201632889349301163,161476258,South America,0,0,Program Services,Student International Recruitment,2000
201632889349301163,161476258,Sub-Saharan Africa,0,0,Program Services,Doctorial Degree,500
201632889349301163,161476258,"North America (including Canada and Mexico, but not the United States)",1,Program Services,Faculty,72000
201632889349301163,161476258,"North America (including Canada and Mexico, but not the United States)",1,Program Services,Adjunct Lecturer,10000
201632889349301163,161476258,Central America and the Caribbean,3,Program Services,Adjunct Lecturer,73000
201623029349300217,640303086,europe,0,0,program services,educational classes,196933
201623029349300217,640303086,NORTH AMERICA,0,0,program services,educational classes,15379
201623029349300217,640303086,central america & the caribbean,0,0,PROGRAM SERVICES,EDUCATIONAL CLASSES,723
201623029349300217,640303086,EAST ASIA & THE PACIFIC,0,0,PROGRAM SERVICES,EDUCATIONAL CLASSES,15599
201623029349300217,640303086,central america & the caribbean,0,0,PROGRAM SERVICES,GRANTS TO RECIPIENTS,109186
201623029349300217,640303086,EAST ASIA & THE PACIFIC,0,0,PROGRAM SERVICES,GRANTS TO RECIPIENTS,184483
201623029349300217,640303086,EUROPE,0,0,PROGRAM SERVICES,GRANTS TO RECIPIENTS,310181
201623029349300217,640303086,MIDDLE EAST & NORTH AFRICA,0,0,PROGRAM SERVICES,GRANTS TO RECIPIENTS,5670
201623029349300217,640303086,North America,0,0,PROGRAM SERVICES,GRANTS TO RECIPIENTS,75492
201623029349300217,640303086,Russia and Neighboring States,0,0,PROGRAM SERVICES,GRANTS TO RECIPIENTS,13079
201623029349300217,640303086,South America,0,0,PROGRAM SERVICES,GRANTS TO RECIPIENTS,107410
201623029349300217,640303086,South Asia,0,0,PROGRAM SERVICES,GRANTS TO RECIPIENTS,29625
201623029349300217,640303086,Sub-Saharan Africa,0,0,PROGRAM SERVICES,GRANTS TO RECIPIENTS,28000
201633079349301433,410694721,CENTRAL AMERICA AND THE CARIBBEAN,3,11,PROGRAM SERVICES,INSTRUCTION,1477146
201633079349301433,410694721,CENTRAL AMERICA AND THE CARIBBEAN,0,0,INVESTMENTS,N/A,6261888
201633079349301433,410694721,EAST ASIA AND THE PACIFIC,0,0,PROGRAM SERVICES,INSTRUCTION,3508
201633079349301433,410694721,EAST ASIA AND THE PACIFIC,0,0,PROGRAM SERVICES,ACADEMIC SUPPORT,15397
201633079349301433,410694721,EAST ASIA AND THE PACIFIC,0,0,GRANTS TO RECIPIENTS LOCATED IN REGION,TUITION ASSISTANCE AND SCHOLARSHIPS,208118
201633079349301433,410694721,SOUTH ASIA,0,0,PROGRAM SERVICES,INSTITUTIONAL SUPPORT,201
201633079349301433,410694721,EUROPE (INCLUDING ICELAND & GREENLAND),0,0,PROGRAM SERVICES,ACADEMIC SUPPORT,8523
201633079349301433,410694721,EUROPE (INCLUDING ICELAND & GREENLAND),0,0,PROGRAM SUPPORT,INSTITUTIONAL SUPPORT,150
201633079349301433,410694721,EUROPE (INCLUDING ICELAND & GREENLAND),0,0,PROGRAM SERVICES,INSTRUCTION,237337
201633079349301433,410694721,EUROPE (INCLUDING ICELAND & GREENLAND),0,0,GRANTS TO RECIPIENTS LOCATED IN REGION,TUITION ASSISTANCE AND SCHOLARSHIPS,267461
201633079349301433,410694721,MIDDLE EAST AND NORTH AFRICA,0,0,PROGRAM SERVICES,INSTRUCTION,873
201633079349301433,410694721,MIDDLE EAST AND NORTH AFRICA,0,0,GRANTS TO RECIPIENTS LOCATED IN REGION,TUITION ASSISTANCE AND SCHOLARSHIPS,41000
201633079349301433,410694721,NORTH AMERICA,1,7,PROGRAM SERVICES,INSTRUCTION,824172
201633079349301433,410694721,NORTH AMERICA,0,0,INVESTMENTS,N/A,129877
201633079349301433,410694721,NORTH AMERICA,0,0,PROGRAM SERVICES,STUDENT SERVICES,4500
201633079349301433,410694721,NORTH AMERICA,0,0,PROGRAM SERVICES,INSTITUTIONAL SUPPORT,21041
201633079349301433,410694721,NORTH AMERICA,0,0,GRANTS TO RECIPIENTS LOCATED IN REGION,TUITION ASSISTANCE AND SCHOLARSHIPS,51500
201633079349301433,410694721,SOUTH AMERICA,0,0,GRANTS TO RECIPIENTS LOCATED IN REGION,TUITION ASSISTANCE AND SCHOLARSHIPS,26284
201633079349301433,410694721,SOUTH ASIA,0,0,GRANTS TO RECIPIENTS LOCATED IN REGION,TUITION ASSISTANCE AND SCHOLARSHIPS,31593
201633079349301433,410694721,SUB-SAHARAN AFRICA,1,7,PROGRAM SERVICES,INSTRUCTION,614803
201633079349301433,410694721,SUB-SAHARAN AFRICA,0,0,INVESTMENTS,N/A,230646
201633079349301433,410694721,SUB-SAHARAN AFRICA,0,0,GRANTS TO RECIPIENTS LOCATED IN REGION,TUITION ASSISTANCE AND SCHOLARSHIPS,155122
201633129349301458,420730347,CENTRAL AMERICA AND THE CARIBBEAN,0,0,INVESTMENTS,14174565
201633129349301458,420730347,CENTRAL AMERICA AND THE CARIBBEAN,0,0,PROGRAM SERVICES,STUDENT AND FACULTY TRAVEL - GLOBAL HEALTH PROGRAM SERVICES,33396
201633129349301458,420730347,EUROPE (INCLUDING ICELAND & GREENLAND),0,0,PROGRAM SERVICES,STUDENT AND FACULTY TRAVEL - GLOBAL HEALTH PROGRAM SERVICES,13847
201633129349301458,420730347,SUB-SAHARAN AFRICA,0,0,PROGRAM SERVICES,FACULTY TRAVEL - GLOBAL HEALTH PROGRAM SERVICES,9703
201633129349301458,420730347,EAST ASIA AND THE PACIFIC,0,0,PROGRAM SERVICES,STUDENT AND FACULTY TRAVEL - GLOBAL HEALTH PROGRAM SERVICES,3773
201633129349301458,420730347,SOUTH ASIA,0,0,PROGRAM SERVICES,FACULTY TRAVEL - GLOBAL HEALTH PROGRAM SERVICES,3586
201623159349300622,620812782,EUROPE,1,9,PROGRAM SERVICES,STUDY ABROAD PROGRAM,263703
201633149349300528,350885591,SUB-SAHARAN AFRICA,PROGRAM SERVICES,MISSION/ACADEMIC TRIPS,33416
201633149349300528,350885591,EUROPE (INCLUDING ICELAND AND GREENLAND),PROGRAM SERVICES,MISSION/ACADEMIC TRIPS,2243
201633149349300528,350885591,EAST ASIA AND THE PACIFIC,PROGRAM SERVICES,MISSION/ACADEMIC TRIPS,185
201633149349300528,350885591,EAST ASIA AND THE PACIFIC,1,PROGRAM SERVICES,PROGRAM EXPENSES,4890944
201633149349300528,350885591,EAST ASIA AND THE PACIFIC,1,PROGRAM SERVICES,PROGRAM EXPENSES,224475
201633149349300528,350885591,EAST ASIA AND THE PACIFIC,PROGRAM SERVICES,STUDENT FINANCIAL AID,500
201633149349300528,350885591,EUROPE (INCLUDING ICELAND AND GREENLAND),PROGRAM SERVICES,STUDENT FINANCIAL AID,16650
201633149349300528,350885591,SUB-SAHARAN AFRICA,PROGRAM SERVICES,STUDENT FINANCIAL AID,3000
201623199349310192,541954969,East Asia and the Pacific,0,5,Program Services,Student Recruiting,3316
201623199349310192,541954969,Middle East and North Africa,0,1,Program Services,Student Recruiting,1193
201623199349310192,541954969,North America,0,1,Program Services,Student Recruiting,2149
201623199349310192,541954969,South Asia,0,22,Program Services,Student Recruiting,240064
201623199349310192,541954969,Sub-Saharan Africa,0,1,Program Services,Student Recruiting,295
201623199349302557,042104451,HAITI,2,PROGRAM SERVICES,TRAVEL ASSISTANCE,11742
201623129349302082,463779216,CENTRAL AMERICAN AND THE CONTINET OF THE CARIBBEAN,1,21,PROGRAM SERVICES,FOUR-YEAR UNDERGRADUATE PROGRAMS,232559
201623199349305762,237065664,East Asia and Pacific,0,0,PROGRAM SERVICES,CGSTHK MINISTRY SUPPORT,272171
201623199349305762,237065664,East Asia and Pacific,0,0,PROGRAM SERVICES,ACADEMIC ASSISTANCE,32992
201623199349305762,237065664,East Asia and Pacific,0,0,PROGRAM SERVICES,WORD OF LIFE BIBLE CLASSES,172257
201623209349310857,631222148,RUSSIA & THE NEWLY INDEPENDENT STATES -,2,PROGRAM SERVICES,"MISSIONARY SCHOOLS, EDUCATING MINISTERS;LISTTOTAL 36500;LISTTOTAL 75650",32200
201623209349310857,631222148,"SUB-SAHARAN AFRICA - ANGOLA,",6,PROGRAM SERVICES,"MISSIONARY SCHOOLS, EDUCATING MINISTERS;LISTTOTAL 53900;LISTTOTAL 18000",63256
201623209349310857,631222148,"NORTH AMERICA - CANADA AND MEXICO, BUT",1,PROGRAM SERVICES,"MISSIONARY SCHOOLS, EDUCATING MINISTERS;LISTTOTAL 17000;LISTTOTAL 11000",15000
201623209349310857,631222148,SOUTH AMERICA-PERU,1,PROGRAM SERVICES,"MISSIONARY SCHOOLS, EDUCATING MINISTERS;LISTTOTAL 2000",6000
201623209349310857,631222148,"CENTRAL AMERICA AND THE CARIBBEAN - ANTIGUA & BARBUDA, ARUBA, BAHAMAS, C",2,PROGRAM SERVICES,"MISSIONARY SCHOOLS, EDUCATING MINISTERS;LISTTOTAL 6000",32950
201623209349305232,980148939,East Asia and the Pacific,1,14421,Program Services,University,475156232
201623209349305232,980148939,East Asia and the Pacific,Maintaining offices,89091793
201623209349305232,980148939,East Asia and the Pacific,Fundraising,29909065
201623209349305232,980148939,East Asia and the Pacific,Investments,17875133
201623209349305232,980148939,East Asia and the Pacific,Grantmaking,24915478
201603199349310290,770495439,Taiwan,1,1,Marketing,Recruiting of Students,186743
201613209349304496,274967732,SOUTH AMERICA,PROGRAM SERVICES,RESEARCH,9500
201613209349304496,274967732,NORTH AMERICA,PROGRAM SERVICES,CONFERENCE,2535
201613209349318556,731679393,REPUBLIC OF KOREA,1,PROGRAM SERVICE,DISTANCE PROGRAM
201613209349309286,160743900,East Asia and the Pacific,0,0,Speaking at Seminars or Conferences,27294
201613209349309286,160743900,Europe (including Iceland and Greenland),0,0,Speaking at Seminars or Conferences,16399
