object_id,ein,SttsWhrCpyOfRtrnIsFldCd
201533179349300323,201953508,OK
201533179349300323,201953508,OR
201533179349300323,201953508,PA
201533179349300323,201953508,RI
201533179349300323,201953508,SC
201533179349300323,201953508,TN
201533179349300323,201953508,VA
201533179349300323,201953508,WA
201533179349300323,201953508,WV
201533179349300323,201953508,MA
201533179349300333,510284276,DE
201533179349300338,391961006,WI
201533209349302678,510153996,AZ
201523209349311832,680369934,CA
201503039349300600,352056072,IN
201533209349310883,770722574,MA
201533209349310893,954130773,CA
201533209349310923,910906330,WA
201523099349301612,860807244,AZ
201523209349308752,134009829,NY
201523209349308762,116000821,NY
201523209349313587,264233516,NM
201533179349305998,263161959,MI
201533099349301158,770297678,CA
201533179349306993,463303073,MT
201523209349312382,272961250,ID
201523099349300012,752163487,MD
201543039349301109,953495141,CA
201523079349301527,271879204,CA
201543039349300544,231596872,PA
201533079349300818,204352212,NY
201533209349306133,135601035,NY
201523209349313022,271940144,CA
201533179349305728,061358298,NY
201533179349305753,205580506,NY
201523209349314587,453767735,CA
201543089349301679,272111542,CA
201533099349301178,900798304,IL
201523089349302057,237228230,NY
201523089349302057,237228230,NJ
201523089349301822,521514895,IL
201523209349311807,133599784,NY
201533209349306398,541282756,VA
201533209349303783,310904715,OH
201523219349301402,330923967,CA
201523229349300617,591782265,FL
201533199349300123,540577900,VA
201533199349300128,311270616,OH
201533209349303018,954231812,CA
201533179349309518,476025325,NE
201533199349301303,412185809,CA
201533199349301308,465592573,IN
201533209349307088,550668245,WV
201523209349309797,621004587,TN
201523209349310042,942444042,CA
201503079349301130,582606951,GA
201503079349301145,132839977,NY
201503079349301175,210632971,NJ
201503079349301215,582086899,UT
201503079349301235,742194690,TX
201503079349301300,316008551,OH
201513099349302106,273190112,UT
201513099349302211,263480204,CA
201503069349301040,202764800,GA
201503069349301075,141636070,NY
201503069349301105,204817049,WA
201503069349301115,042983365,MA
201503069349301140,237454575,PA
201503069349301155,942900226,CA
201503069349301170,582158058,TN
201503069349301175,223972135,IN
201503069349301210,371415172,IL
201513079349301201,760779755,AZ
201513079349301201,760779755,CT
201513039349300991,363346802,IL
201513089349301511,133651419,DE
201513089349301516,273758609,NY
201513089349301561,452488652,HI
201513089349301566,232657944,PA
201513089349301586,943054146,CA
201513089349301611,351118647,IN
201513089349301621,582367819,GA
201513089349301656,621639718,TN
201513089349301681,941080917,CA
201513089349301701,382074062,MI
201503039349300010,043070530,MA
201503069349301240,943065810,CA
201503069349301255,410718179,MN
201513079349301301,161248856,NY
201513079349301311,561097597,NC
201513079349301331,510147653,MN
201513079349301341,061548990,NY
201513079349301351,351404197,IN
201513079349301371,743081569,CA
201513079349301376,931109798,OR
201513079349301426,113529145,NY
201503089349300020,203690682,GA
201503089349300030,116015965,NY
201503089349300045,611472837,NY
201503089349300130,048295500,MA
201503089349300135,581705502,NC
201503089349300145,412035127,GA
201503089349300200,010697213,MN
201503089349300215,521226614,AL
201503089349300215,521226614,AL
201503089349300215,521226614,AZ
201503089349300215,521226614,AR
201503089349300215,521226614,CA
201503089349300215,521226614,CO
201503089349300215,521226614,CT
201503089349300215,521226614,DE
201503089349300215,521226614,DC
201503089349300215,521226614,FL
201503089349300215,521226614,GA
201503089349300215,521226614,IN
201503089349300215,521226614,IL
201503089349300215,521226614,KY
201503089349300215,521226614,MD
201503089349300215,521226614,MA
201503089349300215,521226614,ME
201503089349300215,521226614,MI
201503089349300215,521226614,MN
201503089349300215,521226614,NC
201503089349300215,521226614,NH
201503089349300215,521226614,NJ
201503089349300215,521226614,NM
201503089349300215,521226614,NY
201503089349300215,521226614,OH
201503089349300215,521226614,OR
201503089349300215,521226614,PA
201503089349300215,521226614,RI
201503089349300215,521226614,SC
201503089349300215,521226614,UT
201503089349300215,521226614,VA
201503089349300215,521226614,WA
201503089349300215,521226614,WI
201503089349300215,521226614,WV
201503089349300220,410841103,MN
201503089349300300,134045022,NY
201503089349300305,131628168,AL
201503089349300305,131628168,AK
201503089349300305,131628168,AR
201503089349300305,131628168,CA
201503089349300305,131628168,CO
201503089349300305,131628168,CT
201503089349300305,131628168,DC
201503089349300305,131628168,FL
201503089349300305,131628168,GA
201503089349300305,131628168,HI
201503089349300305,131628168,IL
201503089349300305,131628168,KS
201503089349300305,131628168,KY
201503089349300305,131628168,ME
201503089349300305,131628168,MD
201503089349300305,131628168,MA
201503089349300305,131628168,MI
201503089349300305,131628168,MN
201503089349300305,131628168,MS
201503089349300305,131628168,NH
201503089349300305,131628168,NJ
201503089349300305,131628168,NM
201503089349300305,131628168,NY
201503089349300305,131628168,NC
201503089349300305,131628168,ND
201503089349300305,131628168,OH
201503089349300305,131628168,OK
201503089349300305,131628168,OR
201503089349300305,131628168,PA
201503089349300305,131628168,RI
201503089349300305,131628168,SC
201503089349300305,131628168,TN
201503089349300305,131628168,UT
201503089349300305,131628168,VA
201503089349300305,131628168,WA
201503089349300305,131628168,WV
201503089349300305,131628168,WI
201503089349300325,311734034,OH
201503099349301220,451544920,CA
201513069349300136,721140753,LA
201513069349300216,591882749,FL
201513069349300226,231978059,PA
201513069349300231,455528092,NY
201513069349300236,237057026,FL
201513069349300241,132934000,NY
201513069349300246,232005485,PA
201513069349300301,351033735,IN
201513099349300216,510565938,AL
201513099349300216,510565938,AK
201513099349300216,510565938,AR
201513099349300216,510565938,CA
201513099349300216,510565938,CT
201513099349300216,510565938,GA
201513099349300216,510565938,KS
201513099349300216,510565938,KY
201513099349300216,510565938,ME
201513099349300216,510565938,MD
