object_id,ein,RgnTxt,OffcsCnt,EmplyCnt,OfActvtsCndctdTxt,SpcfcSrvcsPrvddTxt,RgnTtlExpndtrsAmt
201500309349301800,042111203,South America,0,0,Program Services,program development,2205
201500309349301800,042111203,South Asia,0,0,Program Services,program development,2756
201500309349301800,042111203,Sub-Saharan Africa,0,0,Program Services,program development,4215
201500309349301800,042111203,Central America and the Caribbean,0,0,Program Services,student recruitment,2613
201500309349301800,042111203,East Asia and the Pacific,0,0,Program Services,student recruitment,20740
201500309349301800,042111203,Europe (including Iceland and Greenland),0,0,Program Services,student recruitment,2535
201500309349301800,042111203,Middle East and North Africa,0,0,Program Services,student recruitment,4231
201500309349301800,042111203,"North America (including Canada and Mexico, but not the United States)",0,0,Program Services,student recruitment,1657
201500309349301800,042111203,South America,0,0,Program Services,student recruitment,5077
201500309349301800,042111203,South Asia,0,0,Program Services,student recruitment,15455
201500309349301800,042111203,Sub-Saharan Africa,0,0,Program Services,student recruitment,1845
201500309349301800,042111203,East Asia and the Pacific,0,0,Program Services,research,6965
201500309349301800,042111203,Sub-Saharan Africa,0,0,Program Services,research,3725
201500309349301800,042111203,Central America and the Caribbean,0,0,Investments,6815917
201510309349300546,340868798,EUROPE,1,4,PROGRAM SERVICES,INSTRUCTIONAL,723894
201500349349300965,910473310,CENTRAL AMERICA AND THE CARIBBEAN,1,1,PROGRAM SERVICES - CAPITAL CONTRIBUTIONS TO WHITWORTH COSTA RICA LIMITADA,ACADEMIC INSTRUCTION,700376
201500349349300965,910473310,CENTRAL AMERICA AND THE CARIBBEAN,0,1,CAPITAL CONTRIBUTIONS FOR PLANT INVESTMENT,ACADEMIC INSTRUCTION,56400
201500349349300965,910473310,CENTRAL AMERICA AND THE CARIBBEAN,0,1,INVESTMENT,8094133
201500349349300965,910473310,CENTRAL AMERICA AND THE CARIBBEAN,0,0,PROGRAM SERVICES,STUDY ABROAD PROGRAMS,67765
201500349349300965,910473310,EAST ASIA AND THE PACIFIC,0,0,PROGRAM SERVICES,STUDY ABROAD PROGRAMS,280421
201500349349300965,910473310,EUROPE,0,0,PROGRAM SERVICES,STUDY ABROAD PROGRAMS,256895
201500349349300965,910473310,SOUTH AMERICA,0,0,PROGRAM SERVICES,STUDY ABROAD PROGRAMS,55750
201500349349300965,910473310,SUB-SAHARAN AFRICA,0,0,PROGRAM SERVICES,STUDY ABROAD PROGRAMS,316414
201530369349300718,362181973,EUROPE (INCLUDING ICELAND AND GREENLAND),0,0,PROGRAM SERVICES,CONFERENCES AND MEETINGS,42281
201530369349300718,362181973,NORTH AMERICA (CANADA & MEXICO ONLY),0,0,PROGRAM SERVICES,CONFERENCES AND MEETINGS,32629
201530369349300718,362181973,EAST ASIA AND THE PACIFIC,0,0,PROGRAM SERVICES,SYMPOSIUMS AND MEETINGS,12395
201530369349300718,362181973,CENTRAL AMERICA AND THE CARIBBEAN,0,0,INVESTMENTS,11030568
201530369349300718,362181973,SOUTH AMERICA,0,0,PROGRAM SERVICES,CONFERENCE,1776
201530369349300718,362181973,MIDDLE EAST AND NORTH AFRICA,0,0,PROGRAM SERVICES,GLOBAL HEALTH INITIATIVE,17258
201530369349300718,362181973,SOUTH ASIA,0,0,PROGRAM SERVICES,CONFERENCE,514
201500309349300205,350845258,East Asia and the Pacific,Program Services,STUDENT RECRUITMENT,78133
201530349349300408,410693977,CENTRAL AMERICA AND THE CARIBBEAN -,0,0,INVESTMENT ACTIVITIES,10369291
201500339349300705,470377991,South America,Program Services,International Studies,9500
201500339349300705,470377991,East Asia and the Pacific,Program Services,International Studies,118294
201500339349300705,470377991,South Asia,Program Services,International Studies,3900
201500339349300705,470377991,Europe (Including Iceland and Greenland),Program Services,International Studies,359411
201500339349300705,470377991,Sub-Saharan Africa,Program Services,International Studies,16150
201500339349300705,470377991,Middle East and North Africa,Program Services,International Studies,10500
201500339349300705,470377991,Central America and the Caribbean,Program Services,International Studies,12700
201530309349301108,420680351,CENTRAL AMERICA AND THE CARIBBEAN,0,0,PROGRAM SERVICES,SEE PART V,80007
201530309349301108,420680351,EAST ASIA & PACIFIC,0,0,PROGRAM SERVICES,SEE PART V,18807
201530309349301108,420680351,EUROPE (INCLUDING ICELAND AND GREENLAND),0,0,PROGRAM SERVICES,SEE PART V,118844
201530309349301108,420680351,MIDDLE EAST AND NORTH AFRICA,0,0,PROGRAM SERVICES,SEE PART V,839
201530309349301108,420680351,NORTH AMERICA (INCLUDING CANADA AND MEXICO BUT NOT THE UNITED STATES),0,0,PROGRAM SERVICES,SEE PART V,3279
201530309349301108,420680351,SOUTH AMERICA,0,0,PROGRAM SERVICES,SEE PART V,34312
201530309349301108,420680351,SUB-SAHARAN AFRICA,0,0,PROGRAM SERVICES,SEE PART V,23173
201510339349300726,161476258,Central America and the Caribbean,0,0,Program Services,Conference Attendance,1000
201510339349300726,161476258,Central America and the Caribbean,0,0,Program Services,Fieldwork,23000
201510339349300726,161476258,Central America and the Caribbean,0,0,Speaking at Seminars or Conferences,Present Fieldwork,4000
201510339349300726,161476258,East Asia and the Pacific,0,0,Program Services,Conference Attendance,5000
201510339349300726,161476258,East Asia and the Pacific,0,0,Program Services,Student International Recruitment,7000
201510339349300726,161476258,Europe (including Iceland and Greenland),0,0,Speaking at Seminars or Conferences,Conference Attendance and Presentation,15000
201510339349300726,161476258,Europe (including Iceland and Greenland),0,0,Program Services,Course Presenter and Consultant,1000
201510339349300726,161476258,Europe (including Iceland and Greenland),0,0,Program Services,Fieldwork,96000
