object_id,ein,SpclRlMtOn3rdSprtTstInd,Orgnztn501cInd,Orgnztn501c3ExmptPFInd,TtCntrRcvdMr1000Ind,TtCntrRcvdUpT1000Ind,Orgnztn527Ind,Orgnztn49471NtPFInd,Orgnztn501c3TxblPFInd,Orgnztn49471TrtdPFInd,GnrlRlInd,TtlUndr1000CntrbtnsAmt
201810389349300041,390806202,-,-,-,-,-,-,-,-,-,-,-
201743129349300134,540715569,-,-,-,-,-,-,-,-,-,-,-
201800099349301360,530196641,-,-,-,-,-,-,-,-,-,-,-
201713499349300956,596046500,-,-,-,-,-,-,-,-,-,-,-
201733499349300543,631191637,-,-,-,-,-,-,-,-,-,-,-
201840189349301104,952882724,-,-,-,-,-,-,-,-,-,-,-
201830119349300128,370661217,-,-,-,-,-,-,-,-,-,-,-
201830369349300208,660277396,-,-,-,-,-,-,-,-,-,-,-
201800269349301025,420680404,-,-,-,-,-,-,-,-,-,-,-
201800269349300310,420772559,-,-,-,-,-,-,-,-,-,-,-
201810469349301506,930386908,-,-,-,-,-,-,-,-,-,-,-
201713129349301526,340714585,-,-,-,-,-,-,-,-,-,-,-
201800259349300735,042108346,-,-,-,-,-,-,-,-,-,-,-
201830379349300428,275316628,-,-,-,-,-,-,-,-,-,-,-
201830379349300323,200180768,-,-,-,-,-,-,-,-,-,-,-
201733499349301258,550357056,-,-,-,-,-,-,-,-,-,-,-
201800169349300400,383589120,-,-,-,-,-,-,-,-,-,-,-
201723079349302042,954559065,-,-,-,-,-,-,-,-,-,-,-
201703569349300100,630771624,-,-,-,-,-,-,-,-,-,-,-
201731709349300858,760057699,-,-,-,-,-,-,-,-,-,-,-
201703569349300520,951230865,-,-,-,-,-,-,-,-,-,-,-
201830449349300538,131988190,-,-,-,-,-,-,-,-,-,-,-
201820329349300307,560657294,-,-,-,-,-,-,-,-,-,-,-
201713179349301526,226830873,-,-,-,-,-,-,-,-,-,-,-
201830329349301603,910570848,-,-,-,-,-,-,-,-,-,-,-
201741659349300744,730590036,-,-,-,-,-,-,-,-,-,-,-
201810459349301626,610444650,-,-,-,-,-,-,-,-,-,-,-
201820179349300207,112357063,-,-,-,-,-,-,-,-,-,-,-
201810459349300801,231585611,-,-,-,-,-,-,-,-,-,-,-
201810459349300646,056015988,-,-,-,-,-,-,-,-,-,-,-
201840309349300614,620599339,-,-,-,-,-,-,-,-,-,-,-
201830449349300723,530199507,-,-,-,-,-,-,-,-,-,-,-
201820249349301457,311048513,-,-,-,-,-,-,-,-,-,-,-
201713499349300541,231501197,-,-,-,-,-,-,-,-,-,-,-
201743139349301614,061149131,-,-,-,-,-,-,-,-,-,-,-
201713499349300836,390988997,-,-,-,-,-,-,-,-,-,-,-
201743549349300414,750827421,-,-,-,-,-,-,-,-,-,-,-
201722869349300927,440552049,-,-,-,-,-,-,-,-,-,-,-
201820369349300447,150532239,-,-,-,-,-,-,-,-,-,-,-
201830469349302168,430817015,-,-,-,-,-,-,-,-,-,-,-
201723569349300637,382385150,-,-,-,-,-,-,-,-,-,-,-
201810379349301191,730579264,-,-,-,-,-,-,-,-,-,-,-
201713539349300626,237013253,-,-,-,-,-,-,-,-,-,-,-
201723559349300027,232215278,-,-,-,-,-,-,-,-,-,-,-
201713079349301711,570324916,-,-,-,-,-,-,-,-,-,-,-
201800449349301825,390806154,-,-,-,-,-,-,-,-,-,-,-
201840449349300234,042152671,-,-,-,-,-,-,-,-,-,-,-
201723569349300417,480548361,-,-,-,-,-,-,-,-,-,-,-
201830449349301503,370673506,-,-,-,-,-,-,-,-,-,-,-
201703549349300115,020223339,-,-,-,-,-,-,-,-,-,-,-
201820439349300337,310747997,-,-,-,-,-,-,-,-,-,-,-
201820439349300202,042104258,-,-,-,-,-,-,-,-,-,-,-
201830119349301263,952113260,-,-,-,-,-,-,-,-,-,-,-
201713529349300761,160909446,-,-,-,-,-,-,-,-,-,-,-
201743179349300339,362167773,-,-,-,-,-,-,-,-,-,-,-
201713609349300801,411365561,-,-,-,-,-,-,-,-,-,-,-
201820119349301017,381498763,-,-,-,-,-,-,-,-,-,-,-
201743139349301844,470418641,-,-,-,-,-,-,-,-,-,-,-
201743199349303019,060646520,-,-,-,-,-,-,-,-,-,-,-
201713109349301911,420680408,-,-,-,-,-,-,-,-,-,-,-
201840459349301189,222586208,-,-,-,-,-,-,-,-,-,-,-
201712879349300906,362919340,-,-,-,-,-,-,-,-,-,-,-
201830169349300628,560532303,-,-,-,-,-,-,-,-,-,-,-
201820369349300712,480547702,-,-,-,-,-,-,-,-,-,-,-
201713119349302696,570314415,-,-,-,-,-,-,-,-,-,-,-
201713119349302721,420681049,-,-,-,-,-,-,-,-,-,-,-
201830449349301708,951744369,-,-,-,-,-,-,-,-,-,-,-
201810379349300811,160743989,-,-,-,-,-,-,-,-,-,-,-
201840379349300034,430653369,-,-,-,-,-,-,-,-,-,-,-
201820269349300232,208384273,-,-,-,-,-,-,-,-,-,-,-
201800449349301385,591237047,-,-,-,-,-,-,-,-,-,-,-
201800249349301300,420680466,-,-,-,-,-,-,-,-,-,-,-
201820129349300117,410695509,-,-,-,-,-,-,-,-,-,-,-
201820399349301307,410696906,-,-,-,-,-,-,-,-,-,-,-
201742839349301309,350868181,-,-,-,-,-,-,-,-,-,-,-
201840389349300309,362170142,-,-,-,-,-,-,-,-,-,-,-
201713189349305806,251065148,-,-,-,-,-,-,-,-,-,-,-
201703139349301110,340753531,-,-,-,-,-,-,-,-,-,-,-
201830409349301293,450350756,-,-,-,-,-,-,-,-,-,-,-
201800549349300820,150532204,-,-,-,-,-,-,-,-,-,-,-
201810609349300711,420707114,-,-,-,-,-,-,-,-,-,-,-
201820439349300532,131624158,-,-,-,-,-,-,-,-,-,-,-
201820519349300432,560530003,-,-,-,-,-,-,-,-,-,-,-
201820519349300527,060647016,-,-,-,-,-,-,-,-,-,-,-
201820519349300617,461812625,-,-,-,-,-,-,-,-,-,-,-
201800589349300410,310970262,-,-,-,-,-,-,-,-,-,-,-
201820859349300012,420680335,-,-,-,-,-,-,-,-,-,-,-
201820859349301112,640428676,-,-,-,-,-,-,-,-,-,-,-
201810549349300436,440589787,-,-,-,-,-,-,-,-,-,-,-
201810419349300101,231424055,-,-,-,-,-,-,-,-,-,-,-
201820689349301257,951644035,-,-,-,-,-,-,-,-,-,-,-
201810729349300216,314379584,-,-,-,-,-,-,-,-,-,-,-
201830439349300918,620484185,-,-,-,-,-,-,-,-,-,-,-
201810549349300036,231365953,-,-,-,-,-,-,-,-,-,-,-
201830669349301353,620570060,-,-,-,-,-,-,-,-,-,-,-
201820669349300807,910473310,-,-,-,-,-,-,-,-,-,-,-
201830749349300728,440556862,-,-,-,-,-,-,-,-,-,-,-
201820689349300622,430652667,-,-,-,-,-,-,-,-,-,-,-
201820689349300707,042002060,-,-,-,-,-,-,-,-,-,-,-
201800619349300335,344431169,-,-,-,-,-,-,-,-,-,-,-
201800889349300500,251120678,-,-,-,-,-,-,-,-,-,-,-
201800679349301100,240795441,-,-,-,-,-,-,-,-,-,-,-
201830669349300508,591407629,-,-,-,-,-,-,-,-,-,-,-
201840689349301029,611124267,-,-,-,-,-,-,-,-,-,-,-
201800679349300825,350868095,-,-,-,-,-,-,-,-,-,-,-
201820869349300762,231627436,-,-,-,-,-,-,-,-,-,-,-
201800859349300215,941156599,-,-,-,-,-,-,-,-,-,-,-
201830829349301118,841123408,-,-,-,-,-,-,-,-,-,-,-
201830829349300613,540573801,-,-,-,-,-,-,-,-,-,-,-
201810859349300311,131662715,-,-,-,-,-,-,-,-,-,-,-
201830669349300143,430356250,-,-,-,-,-,-,-,-,-,-,-
201800659349300040,344427516,-,-,-,-,-,-,-,-,-,-,-
201820669349300627,430764111,-,-,-,-,-,-,-,-,-,-,-
201840529349300989,410693968,-,-,-,-,-,-,-,-,-,-,-
201840529349301114,340877803,-,-,-,-,-,-,-,-,-,-,-
201810839349300501,251453441,-,-,-,-,-,-,-,-,-,-,-
201820459349301227,951644048,-,-,-,-,-,-,-,-,-,-,-
201800869349300500,580566143,-,-,-,-,-,-,-,-,-,-,-
201800459349301225,250965576,-,-,-,-,-,-,-,-,-,-,-
201840119349300829,930461940,-,-,-,-,-,-,-,-,-,-,-
201800869349300905,160746864,-,-,-,-,-,-,-,-,-,-,-
201800889349300615,730774245,-,-,-,-,-,-,-,-,-,-,-
201810869349300606,314379435,-,-,-,-,-,-,-,-,-,-,-
201810859349300711,362170136,-,-,-,-,-,-,-,-,-,-,-
201840629349300714,330804576,-,-,-,-,-,-,-,-,-,-,-
201840589349300829,221487307,-,-,-,-,-,-,-,-,-,-,-
201800889349301100,362169157,-,-,-,-,-,-,-,-,-,-,-
201820729349300402,480842156,-,-,-,-,-,-,-,-,-,-,-
201840249349300129,381369604,-,-,-,-,-,-,-,-,-,-,-
201800279349300315,610470593,-,-,-,-,-,-,-,-,-,-,-
201820509349300632,362167048,-,-,-,-,-,-,-,-,-,-,-
201840259349301314,420681046,-,-,-,-,-,-,-,-,-,-,-
201810229349300726,111733439,-,-,-,-,-,-,-,-,-,-,-
201820529349301137,911036794,-,-,-,-,-,-,-,-,-,-,-
201820829349301202,581363100,-,-,-,-,-,-,-,-,-,-,-
201800319349301905,621149976,-,-,-,-,-,-,-,-,-,-,-
201810439349301726,942207895,-,-,-,-,-,-,-,-,-,-,-
201820219349300052,942830046,-,-,-,-,-,-,-,-,-,-,-
201820859349300777,640303086,-,-,-,-,-,-,-,-,-,-,-
201820729349300307,750851900,-,-,-,-,-,-,-,-,-,-,-
201810749349300901,941021164,-,-,-,-,-,-,-,-,-,-,-
201810749349300911,350867954,-,-,-,-,-,-,-,-,-,-,-
201820889349300107,741159753,-,-,-,-,-,-,-,-,-,-,-
201840449349300149,340868798,-,-,-,-,-,-,-,-,-,-,-
201840749349300514,930391586,-,-,-,-,-,-,-,-,-,-,-
201820579349301152,231352668,-,-,-,-,-,-,-,-,-,-,-
201800999349300000,920158414,-,-,-,-,-,-,-,-,-,-,-
201840719349300514,941712371,-,-,-,-,-,-,-,-,-,-,-
201830659349300008,930401259,-,-,-,-,-,-,-,-,-,-,-
201820659349300437,231352641,-,-,-,-,-,-,-,-,-,-,-
201830949349300223,952944594,-,-,-,-,-,-,-,-,-,-,-
201810479349300321,131740469,-,-,-,-,-,-,-,-,-,-,-
201800939349300020,362167804,-,-,-,-,-,-,-,-,-,-,-
201840959349300224,370661494,-,-,-,-,-,-,-,-,-,-,-
201840959349300134,520591608,-,-,-,-,-,-,-,-,-,-,-
201821029349300147,741143128,-,-,-,-,-,-,-,-,-,-,-
201841009349300219,410795255,-,-,-,-,-,-,-,-,-,-,-
201830969349300603,650807808,-,-,-,-,-,-,-,-,-,-,-
201830989349300008,940836580,-,-,-,-,-,-,-,-,-,-,-
201810979349300416,160743045,-,-,-,-,-,-,-,-,-,-,-
201840949349300824,231930438,-,-,-,-,-,-,-,-,-,-,-
201810669349301301,610444708,-,-,-,-,-,-,-,-,-,-,-
201810679349300641,362216176,-,-,-,-,-,-,-,-,-,-,-
201820659349300327,560530242,-,-,-,-,-,-,-,-,-,-,-
201810959349300141,860561847,-,-,-,-,-,-,-,-,-,-,-
201811019349301311,941156628,-,-,-,-,-,-,-,-,-,-,-
201801009349300225,560529953,-,-,-,-,-,-,-,-,-,-,-
201800899349300715,370661496,-,-,-,-,-,-,-,-,-,-,-
201800669349300765,150533545,-,-,-,-,-,-,-,-,-,-,-
201820679349300207,541911091,-,-,-,-,-,-,-,-,-,-,-
201840249349301509,860294012,-,-,-,-,-,-,-,-,-,-,-
201800199349300900,310840764,-,-,-,-,-,-,-,-,-,-,-
201840549349300914,233069199,-,-,-,-,-,-,-,-,-,-,-
201810589349300521,344428219,-,-,-,-,-,-,-,-,-,-,-
201830729349300643,530196549,-,-,-,-,-,-,-,-,-,-,-
201840759349301209,596155069,-,-,-,-,-,-,-,-,-,-,-
201820789349300017,930845182,-,-,-,-,-,-,-,-,-,-,-
201840469349301889,250965212,-,-,-,-,-,-,-,-,-,-,-
201840249349301409,381393841,-,-,-,-,-,-,-,-,-,-,-
201840549349300109,231352652,-,-,-,-,-,-,-,-,-,-,-
201830519349300533,383336473,-,-,-,-,-,-,-,-,-,-,-
201801019349301035,750926755,-,-,-,-,-,-,-,-,-,-,-
201800959349300705,460280847,-,-,-,-,-,-,-,-,-,-,-
201811029349301301,042199867,-,-,-,-,-,-,-,-,-,-,-
201831029349300243,410695524,-,-,-,-,-,-,-,-,-,-,-
201800609349301155,370711798,-,-,-,-,-,-,-,-,-,-,-
201800599349301500,350868096,-,-,-,-,-,-,-,-,-,-,-
201820629349300007,521859814,-,-,-,-,-,-,-,-,-,-,-
201840999349300324,042104149,-,-,-,-,-,-,-,-,-,-,-
201840999349300304,240795506,-,-,-,-,-,-,-,-,-,-,-
201800879349300705,237223216,-,-,-,-,-,-,-,-,-,-,-
201800999349300885,741109631,-,-,-,-,-,-,-,-,-,-,-
