object_id,ein,NndscrmntryPlcyStmtInd,PlcyStmtInBrchrsEtcInd,PlcyPblczdVBrdcstMdInd,MntnRclCmpRcsInd,MntnSchlrshpsRcsInd,MntnCpyOfBrchrsEtcInd,MntnCpyOfAllSlInd,DscrmntRcStdntsRghtsInd,DscrmntRcAdmssPlcyInd,DscrmntRcEmplmFcltyInd,DscrmntRcSchsInd,DscrmntRcEdcPlcyInd,DscrmntRcUsOfFcltsInd,DscrmntRcAthltPrgInd,DscrmntRcOthrActyInd,GvrnmntFnnclAdRcvdInd,GvrnmntFnnclAdRvkdInd,CmplncWthRvPrc7550Ind
202031909349302713,463187118,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
202001679349301450,370661228,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202011969349300606,340714689,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202011969349300806,560767736,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202031539349300028,150543659,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202041359349303569,941196198,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202011749349300331,943477000,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202031059349301343,620465076,true,true,true,true,true,true,true,false,false,false,false,false,-,false,false,true,false,true
202000419349300420,741109748,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202000419349300535,042596491,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
202031989349301008,310604719,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202031989349301013,660234412,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202001619349300020,810703802,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
202031009349301103,480730814,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202021399349301552,381374230,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1
202041359349300629,580566199,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202021369349304527,581216007,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202021369349304727,133643485,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202011709349301401,440545280,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202031979349302288,530196640,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
201933199349314428,930999148,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1
202001819349300100,620479542,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202011359349304156,200363127,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,true,false,true
202011699349300536,620730291,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
202031979349302298,271928187,true,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,false,true
