object_id,ein,RgnTxt,OfActvtsCndctdTxt,SpcfcSrvcsPrvddTxt,RgnTtlExpndtrsAmt
201900799349300340,540505922,Central America and the Caribbean,1,2,Program Services,St. Lucia Campus Expenses,165066
201900799349300340,540505922,Central America and the Caribbean,0,0,Program Services,Gerace Research Center travel,6899
201900799349300340,540505922,Central America and the Caribbean,0,0,Program Services,Travel to Costa Rica,156
201900799349300340,540505922,Central America and the Caribbean,0,0,Program Services,Professional Development,900
201900799349300340,540505922,"North America (including Canada and Mexico, but not the United States)",0,0,Program Services,Professional Development,620
201900799349300340,540505922,East Asia and the Pacific,0,0,Program Services,Study Abroad,972
201900799349300340,540505922,South Asia,0,0,Program Services,Study Abroad,1282
201900799349300340,540505922,South America,0,0,Program Services,Professional Development,937
201900799349300340,540505922,South America,0,0,Program Services,Study Abroad,18480
201900799349300340,540505922,South America,0,0,Program Services,Study Abroad,824
201900799349300340,540505922,Europe (including Iceland and Greenland),0,0,Program Services,Study Abroad,2210
201900799349300340,540505922,Europe (including Iceland and Greenland),0,0,Program Services,Professional Development,333
201900799349300340,540505922,Europe (including Iceland and Greenland),0,0,Program Services,Study Abroad,5653
201900799349300340,540505922,Europe (including Iceland and Greenland),0,0,Program Services,Study Abroad,2314
201900799349300340,540505922,Europe (including Iceland and Greenland),0,0,Program Services,Professional Development,1976
201900799349300340,540505922,Europe (including Iceland and Greenland),0,0,Program Services,Professional Development,933
201900799349300340,540505922,Europe (including Iceland and Greenland),0,0,Program Services,Professional Development,196
201900799349300340,540505922,Middle East and North Africa,0,0,Program Services,Professional Development,974
201900799349300340,540505922,Sub-Saharan Africa,0,0,Program Services,Study Abroad,606
201900799349300340,540505922,Sub-Saharan Africa,0,0,Program Services,Study Abroad,704
201900799349300340,540505922,Sub-Saharan Africa,0,0,Grantmaking,Financial Aid - Applied to billed tuition and fees,103555
201900799349300340,540505922,Central America and the Caribbean,0,0,Grantmaking,Financial Aid - Applied to billed tuition and fees,76400
201900799349300340,540505922,East Asia and the Pacific,0,0,Grantmaking,Financial Aid - Applied to billed tuition and fees,237839
201900799349300340,540505922,"North America (including Canada and Mexico, but not the United States)",0,0,Grantmaking,Financial Aid - Applied to billed tuition and fees,8250
201900799349300340,540505922,Europe (including Iceland and Greenland),0,0,Grantmaking,Financial Aid - Applied to billed tuition and fees,18360
201900809349300230,020222154,"CENTRAL AMERICA AND THE CARIBBEAN - ANTIGUA & BARBUDA, ARUBA, BAHAMAS,",0,0,INVESTMENT,823291
201900809349300230,020222154,"CENTRAL AMERICA AND THE CARIBBEAN - ANTIGUA & BARBUDA, ARUBA, BAHAMAS,",0,0,INVESTMENT,2213009
201900809349300230,020222154,"CENTRAL AMERICA AND THE CARIBBEAN - ANTIGUA & BARBUDA, ARUBA, BAHAMAS,",0,0,INVESTMENT,1600635
201930869349300133,930386858,CENTRAL AMERICA AND THE CARIBBEAN,0,1,PROGRAM SERVICES,STUDY ABROAD PROGRAMS FOR UNDERGRADUATE STUDENTS,106364
201930869349300133,930386858,EAST ASIA AND THE PACIFIC,0,12,PROGRAM SERVICES,STUDY ABROAD PROGRAMS FOR UNDERGRADUATE STUDENTS,1621621
201930869349300133,930386858,EUROPE (INCLUDING ICELAND AND GREENLAND),0,13,PROGRAM SERVICES,STUDY ABROAD PROGRAMS FOR UNDERGRADUATE STUDENTS,2709653
