object_id,ein,GrntRcrdsMntndInd,SbttlOffcsCnt,SbttlEmplysCnt,SbttlSpntAmt,CntnttnTtlOffcCnt,CntnttnTtlOffcCnt,CntnttnTtlEmplyCnt,CntnttnTtlEmplyCnt,CntntnSpntAmt,TtlOffcCnt,TtlEmplyCnt,TtlSpntAmt,Ttl501c3OrgCnt,TtlOthrOrgCnt,TrnsfrTFrgnCrpInd,IntrstInFrgnTrstInd,FrgnCrpOwnrshpInd,PssvFrgnInvstmstCInd,FrgnPrtnrshpInd,BycttCntrsInd
201800549349300820,150532204,true,1,421,1578501,-,-,29,29,47816487,1,450,49394988,1,0,true,false,true,true,true,false
201810609349300711,420707114,-,0,0,2206591,0,0,0,0,0,0,0,2206591,-,-,0,0,1,0,0,0
201820439349300532,131624158,-,0,0,769395637,0,0,0,0,33409,0,0,769429046,-,-,1,0,1,1,1,0
201820859349300012,420680335,-,0,0,440714,0,0,0,0,0,0,0,440714,-,-,0,0,0,0,0,0
201820859349301112,640428676,true,1,1,3326883,-,-,-,-,-,1,1,3326883,-,-,true,false,true,true,false,false
201810729349300216,314379584,-,1,2,16751528,0,0,0,0,0,1,2,16751528,-,-,true,false,true,false,true,false
201810549349300036,231365953,0,0,14,3374377,0,0,0,0,0,0,14,3374377,-,-,0,0,1,0,0,0
201820669349300807,910473310,-,1,3,10246429,0,0,0,0,0,1,3,10246429,-,-,1,0,1,1,1,0
201800619349300335,344431169,-,0,120,7727380,0,0,0,0,0,0,120,7727380,-,-,true,false,true,true,true,false
201800889349300500,251120678,-,0,0,790910,0,0,0,0,0,0,0,790910,-,-,1,0,0,1,1,0
201800679349300825,350868095,-,-,-,224606,-,-,-,-,-,-,-,224606,-,-,false,false,false,false,false,false
201800859349300215,941156599,-,0,0,12119177,0,0,0,0,0,0,0,12119177,-,-,0,0,0,1,0,0
201830669349300143,430356250,-,-,-,125995,-,-,-,-,-,-,-,125995,-,-,false,false,false,false,false,false
201800659349300140,481249429,1,0,0,164189,0,0,0,0,0,0,0,164189,-,-,0,0,0,0,0,0
201800659349300040,344427516,true,-,-,51960,-,-,-,-,-,-,-,51960,-,-,false,false,false,false,false,false
201820459349301227,951644048,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,false
201800869349300500,580566143,1,0,0,112041,0,0,0,0,0,0,0,112041,0,1,0,0,0,0,0,0
201800459349301225,250965576,-,-,-,-,-,-,-,-,-,0,0,2000537,-,-,1,0,1,1,1,0
201810869349300606,314379435,1,0,39,12644173,0,0,7,7,107500,0,46,12751673,-,-,1,0,1,1,0,0
201810859349300711,362170136,-,6,10,741058,0,0,0,0,0,6,10,741058,-,-,true,false,true,false,false,false
201820689349301122,237213309,-,1,15820,716302526,-,-,-,-,-,1,15820,716302526,-,-,false,true,true,true,true,false
201800889349301100,362169157,-,0,3,645356,0,0,0,0,0,0,3,645356,-,-,false,false,true,false,false,false
201820729349300012,986001141,1,-,-,-,-,-,-,-,-,1,16064,3998774000,61,108,0,0,0,0,0,0
201820509349300632,362167048,true,-,34,6154426,-,-,-,-,-,-,34,6154426,-,1,true,false,false,false,false,true
201840259349301314,420681046,-,0,0,5081000,0,0,0,0,0,0,0,5081000,-,-,1,0,0,1,1,0
201820529349301137,911036794,-,0,1,19360,0,0,0,0,0,0,1,19360,-,-,0,0,0,0,0,0
201820859349300777,640303086,1,0,0,1256598,0,0,12,12,548922,0,12,1805520,-,-,0,0,0,0,0,1
201800449349301485,135596846,1,3,6040,537928418,0,0,0,0,0,3,6040,537928418,-,-,1,1,1,1,1,1
201820729349300307,750851900,-,1,1,894810,-,-,-,-,-,1,1,894810,-,-,true,false,false,true,true,false
201810749349300911,350867954,-,0,0,149338,0,0,0,0,0,0,0,149338,-,-,0,0,0,0,0,0
201820889349300107,741159753,true,2,22,23057744,0,0,2,2,385753506,2,24,408811250,0,1,true,false,true,true,true,true
201840449349300149,340868798,-,1,4,670432,0,0,0,0,0,1,4,670432,-,-,0,0,0,0,0,0
201840749349300514,930391586,-,-,-,-,-,-,-,-,-,0,1,68099,-,-,0,0,0,0,0,0
201820579349301152,231352668,-,-,14,9153165,-,-,-,-,-,-,14,9153165,-,-,true,false,false,false,false,false
