object_id,ein,BsnssNm_BsnssNmLn1Txt,USAddrss_AddrssLn1Txt,USAddrss_CtyNm,USAddrss_SttAbbrvtnCd,USAddrss_ZIPCd,CntrctrCmpnstn_SrvcsDsc,CntrctrCmpnstn_CmpnstnAmt
201530219349300213,391201561,NOEL-LEVITZ,2350 OAKDALE BLVD,CORALVILLE,IA,52241,ENROLLMENT MANAGEMENT,119630
201520169349300027,362216176,CREATIVE DINING SERVICE INC,1 ROYAL PARK DR SUITE 3,ZEELAND,MI,49464,CAMPUS FOOD SERVICE,1961122
201520169349300027,362216176,FIRST BANKCARD,PO BOX 2818,OMAHA,NE,681032818,CREDIT CARD PROVIDER,1014919
201520169349300027,362216176,DAVIE 8192 LLC,8320 W SUNRISE BLVD SUITE 209,PLANTATION,FL,33322,RENT-FLORIDA CAMPUS,412880
201520169349300027,362216176,AMBER MECHANICAL CONTRACTORS INC,11950 S CENTRAL AVE,ALSIP,IL,608033402,CONSTRUCTION,356706
201520169349300027,362216176,EFRAIM CARLSON SON INC,14052 PETRONELLA DR SUITE 105,LIBERTYVILLE,IL,60048,CONSTRUCTION,325373
201520099349301152,310970262,MBS TEXTBOOK EXCHANGE INC,2711 WEST ASH,COLUMBIA,MO,65203,TEXT BOOKS,346401
201520099349301152,310970262,KEY BANK NATIONAL ASSOCIATION,4515 LAFAYETTE ROAD,INDIANAPOLIS,IN,46254,FINANCING,180679
201520099349301152,310970262,CLAUSELL & ASSOCIATES CPAS PC,4260 CLAUSELL COURT,DECATUR,GA,30035,AUDITS,137975
201520099349301257,460224589,ARAMARK CORPORATION,1101 MARKET STREET,PHILIDELPHIA,PA,19107,FOOD SERVICES,1247202
201520099349301257,460224589,PUETZ CORPORATION,800 N KIMBALL ST,MITCHELL,SD,57301,CONSTRUCTION,236511
201520099349301257,460224589,GEORGE DEHNE & ASSOCIATES,33 MAIN ST SUITE F,OLD SAYBROOK,CT,06475,MARKETING,113575
201500219349300245,610444788,ARAMARK MANAGEMENT SERVICES,PO BOX 198532,ATLANTA,GA,30384,FACILITIES MNGT & FOOD SERVICE,2584316
201500219349300245,610444788,CODELL CONTRUCTION COMPANY,PO BOX 17,WINCHESTER,KY,40392,CONSTRUCTION,1828379
201500219349300245,610444788,ELLUCIAN,4375 FAIR LAKES CT,FAIRFAX,VA,22033,TECHNOLOGY SOLUTIONS,367744
201500219349300245,610444788,CREATIVE IMAGE TECHNOLOGY,211 BREIGHTON CIRCLE UNIT 8,SHELBYVILLE,KY,40065,TECHNOLOGY SOLUTIONS,304599
201500219349300245,610444788,STITES & HARBISON PLLC,250 WEST MAIN STREET SUITE 2300,LEXINGTON,KY,405071758,LEGAL FEES,304023
201520299349300007,430653369,FRESH IDEAS LLC,1000 W NIFONG BLVD BLDG 3 STE,COLUMBIA,MO,65203,FOOD SERVICE,2558238
201520299349300007,430653369,PARIC CORP,PO BOX 790100,ST LOUIS,MO,63179,CONSTRUCTION,11320415
201520299349300007,430653369,LANDCO CONSTRUCTION LLC,12655 OLIVE BLVD STE 325,ST LOUIS,MO,63141,CONSTRUCTION,492488
201520299349300007,430653369,PEARSON EMBANET,330 HUDSON STREET,NEW YORK,NY,10013,ONLINE PROG DEVELOP,10786519
201520299349300007,430653369,TSI GLOBAL COMPANIES LLC,700 FOUNTAIN LAKE BLVD,ST CHARLES,MO,63301,TECHNOLOGY,1064186
201520239349300007,951716809,Wilfredo Avelar dba EB Specialist,4537 Ellenwood Dr,Los Angeles,CA,90041,Maintenance,152065
201520239349300107,900394713,Miller Canfield Paddock & Stone PLC,PO Box Drawer 640348,Detroit,MI,482640348,Legal,340114
201520239349300722,430655867,BVK,250 WEST COVENTRY CT,MILWAUKEE,WI,53217,MARKETING SERVICES,3601304
201520239349300722,430655867,SM WILSON & CO,2185 HAMPTON AVENUE,ST LOUIS,MO,63139,CONSTRUCTION SERVICES,1585562
201520239349300722,430655867,SIMON OSWALD ASSOCIATES,700 CHERRY STREET,COLUMBIA,MO,65201,ARCHITECT SERVICES,646998
201520239349300722,430655867,CENTRAL TRUST AND INVESTMENT CO,720 E BROADWAY,COLUMBIA,MO,65201,INVESTMENT ADVISORY,338307
201520239349300722,430655867,OUTFRONT COMMUNICATIONS,47 EAST BROADWAY,COLUMBIA,MO,65203,EDITORIAL SERVICES,152320
201520279349300217,440545280,HELIX ARCHITECTURE DESIGN,ARCHITECTURE SERVICE,1152726
201520279349300217,440545280,MCCOWN GORDON CONSTRUCTION,CONTRACTOR SERVICE,996117
201520279349300217,440545280,VALOR CONSTRUCTION INC,CONTRACTOR SERVICE,967640
201520279349300217,440545280,HELZBERG SCHOOL OF MANAGEMENT,PROFESSIONAL FEES,670750
201520279349300217,440545280,POLSINELLI SHUGHART PC,LEGAL SERVICES,326371
